listing_id,property_id,listing_date,asking_price,status,days_on_market,price_change_pct
1,7271,2025-07-08,12763000.0,Sold,95,-2.67
2,7604,2025-09-07,12414000.0,Sold,38,2.24
3,861,2025-11-07,11327000.0,Sold,64,-5.65
4,5391,2025-05-09,11033000.0,Expired,50,2.28
5,5227,2024-01-23,15248000.0,Active,130,-3.16
6,5192,2023-09-26,15367000.0,Active,116,-3.1
7,3773,2023-11-03,11809000.0,Sold,66,0.47
8,3093,2025-12-16,15617000.0,Sold,23,1.66
9,5735,2026-05-08,16987000.0,Withdrawn,138,4.28
10,6266,2024-08-08,12857000.0,Withdrawn,132,-3.07
11,467,2024-07-19,10964000.0,Expired,105,-6.29
12,5335,2025-02-22,12010000.0,Active,76,-1.61
13,4427,2025-12-20,20867000.0,Active,16,-1.43
14,5579,2023-12-05,15184000.0,Active,54,2.03
15,6232,2025-06-15,12180000.0,Active,12,-3.74
16,3445,2024-03-15,10954000.0,Sold,67,-0.47
17,3172,2024-10-21,13116000.0,Active,87,-2.18
18,2920,2024-09-23,4613000.0,Sold,50,-1.81
19,7832,2024-05-17,12550000.0,Active,88,4.24
20,131,2026-07-29,11812000.0,Withdrawn,20,-3.67
21,1686,2024-03-29,14186000.0,Sold,35,-2.19
22,7477,2024-05-06,17411000.0,Sold,112,-2.83
23,770,2024-07-31,4582000.0,Sold,103,-1.26
24,2392,2025-10-04,5784000.0,Sold,65,-4.21
25,5612,2024-09-26,14640000.0,Expired,91,5.34
26,7582,2024-07-16,12884000.0,Sold,113,-3.86
27,6950,2025-01-11,22075000.0,Withdrawn,68,-2.14
28,2434,2026-03-31,11405000.0,Active,67,0.44
29,5312,2023-08-23,11691000.0,Expired,121,0.79
30,5052,2026-02-03,13571000.0,Active,103,0.84
31,6421,2026-05-02,12610000.0,Sold,89,-7.3
32,1185,2023-12-28,8866000.0,Active,71,-0.98
33,4556,2025-12-12,11732000.0,Expired,139,-0.45
34,3386,2024-06-03,10399000.0,Active,57,3.31
35,4118,2024-12-26,17203000.0,Active,92,-0.1
36,6397,2024-12-24,9029000.0,Active,79,0.72
37,4844,2025-07-21,15152000.0,Withdrawn,154,-3.48
38,2905,2024-01-27,14081000.0,Expired,122,-1.89
39,7729,2025-12-28,9287000.0,Withdrawn,145,-1.69
40,475,2023-08-31,9283000.0,Withdrawn,16,4.09
41,1083,2026-07-14,15198000.0,Sold,5,-0.93
42,2559,2024-06-10,13936000.0,Active,15,-4.94
43,7850,2023-10-26,15114000.0,Expired,190,-4.45
44,2048,2026-02-02,17270000.0,Sold,98,-4.71
45,7644,2024-08-27,17385000.0,Active,66,-6.03
46,2748,2025-09-25,10421000.0,Sold,103,-0.88
47,976,2025-07-02,21727000.0,Sold,84,-5.17
48,1807,2025-04-15,8811000.0,Expired,12,-2.86
49,190,2025-09-03,10828000.0,Active,19,-2.45
50,7102,2026-01-18,7748000.0,Active,37,-3.4
51,2735,2026-03-22,14761000.0,Sold,85,-0.6
52,3006,2026-05-24,13482000.0,Active,162,1.46
53,4659,2025-07-07,14569000.0,Sold,98,-0.42
54,1900,2025-04-30,8123000.0,Active,90,-3.19
55,7735,2025-01-16,14306000.0,Sold,96,-1.56
56,1268,2024-12-24,8639000.0,Active,63,-0.8
57,6976,2026-02-26,13954000.0,Sold,80,3.56
58,1529,2025-04-01,9182000.0,Sold,20,0.05
59,3203,2024-10-10,11133000.0,Sold,169,0.21
60,3557,2023-12-16,5104000.0,Sold,24,-8.23
61,3891,2024-10-07,13936000.0,Sold,33,-4.2
62,647,2024-12-19,15058000.0,Withdrawn,67,-2.5
63,6165,2023-09-29,11868000.0,Active,53,7.51
64,2889,2025-06-12,13543000.0,Sold,86,1.22
65,6311,2025-02-10,19029000.0,Sold,74,-4.46
66,5394,2025-11-07,12421000.0,Active,18,-6.71
67,2436,2026-07-15,11484000.0,Sold,5,-2.69
68,601,2025-12-15,13149000.0,Sold,71,-2.17
69,2364,2024-05-07,16180000.0,Sold,94,-0.5
70,2062,2025-12-03,13873000.0,Sold,78,1.07
71,242,2023-11-03,14020000.0,Active,90,3.18
72,2042,2023-10-21,24080000.0,Active,61,-1.59
73,2825,2024-09-03,11833000.0,Withdrawn,5,-4.13
74,7514,2024-09-20,10326000.0,Sold,79,-6.52
75,2613,2026-02-09,13269000.0,Active,134,-0.79
76,7042,2023-11-20,9788000.0,Active,40,0.48
77,1364,2024-10-07,8681000.0,Active,70,0.38
78,6236,2025-12-09,18783000.0,Sold,111,1.73
79,5487,2024-03-14,8810000.0,Sold,119,-3.66
80,7100,2025-10-14,7661000.0,Active,101,-4.34
81,1479,2023-11-08,11691000.0,Sold,46,-4.0
82,7596,2025-05-26,12099000.0,Active,53,-2.06
83,2557,2026-08-14,8426000.0,Sold,115,-4.18
84,776,2024-10-04,12226000.0,Active,46,-1.87
85,4015,2025-07-25,14873000.0,Sold,27,-6.36
86,35,2023-09-19,12376000.0,Active,64,3.7
87,6350,2025-06-09,5746000.0,Withdrawn,33,-5.46
88,3153,2026-01-31,13385000.0,Active,168,2.74
89,1956,2025-10-20,6196000.0,Sold,113,-7.88
90,1586,2023-10-06,14171000.0,Sold,59,-1.97
91,3944,2024-09-07,13795000.0,Active,28,-2.29
92,7556,2025-10-14,17006000.0,Active,167,-4.61
93,3074,2025-07-09,22044000.0,Active,66,-6.68
94,1022,2026-06-02,15427000.0,Active,24,1.83
95,3462,2026-03-30,11586000.0,Sold,97,-0.13
96,2614,2026-02-12,21063000.0,Sold,68,-3.11
97,5226,2026-07-28,10491000.0,Sold,45,-1.49
98,3844,2024-08-20,14233000.0,Active,95,-0.4
99,7990,2024-03-29,6832000.0,Sold,60,-6.88
100,1501,2026-02-26,8676000.0,Active,9,1.62
101,4799,2025-01-12,11779000.0,Active,125,-1.86
102,6546,2025-08-16,10313000.0,Active,68,-1.32
103,6874,2026-03-11,20112000.0,Sold,200,-3.65
104,5676,2026-08-09,8993000.0,Sold,51,-1.43
105,162,2026-03-25,10975000.0,Sold,5,-2.91
106,4298,2023-08-27,14338000.0,Sold,130,1.93
107,1982,2024-06-01,18860000.0,Sold,50,-3.65
108,996,2024-03-04,9719000.0,Active,114,-1.56
109,6414,2023-09-02,11580000.0,Sold,135,-4.33
110,4912,2025-03-31,14234000.0,Active,73,-4.14
111,3343,2025-07-30,11058000.0,Active,63,-1.68
112,4552,2024-11-28,25797000.0,Active,65,-2.18
113,7630,2025-08-04,10453000.0,Sold,27,-0.82
114,3799,2025-10-18,13656000.0,Sold,34,-5.11
115,1276,2024-12-25,9108000.0,Sold,62,-3.21
116,1017,2025-05-17,6343000.0,Expired,113,-4.32
117,7870,2026-02-02,14832000.0,Active,101,1.85
118,6440,2024-11-12,11452000.0,Sold,131,1.77
119,7893,2025-11-30,8018000.0,Withdrawn,14,-2.11
120,6864,2026-07-27,17962000.0,Active,44,0.76
121,7917,2026-02-14,18757000.0,Active,73,-1.66
122,338,2025-08-09,14261000.0,Expired,125,-1.44
123,879,2025-12-30,13460000.0,Active,112,-7.12
124,1077,2026-02-02,7770000.0,Sold,117,-3.77
125,4888,2023-10-30,8067000.0,Withdrawn,32,-8.83
126,3994,2025-04-25,11507000.0,Sold,86,-5.39
127,6361,2025-03-03,12873000.0,Sold,108,1.55
128,4860,2026-03-25,5592000.0,Active,43,-3.13
129,6332,2025-11-07,13589000.0,Active,93,-6.04
130,380,2023-09-17,9716000.0,Expired,133,-0.57
131,493,2025-06-14,13252000.0,Sold,102,-1.04
132,7209,2026-06-14,12217000.0,Active,64,-2.6
133,5277,2024-04-17,10106000.0,Active,5,-0.74
134,2063,2026-02-23,7832000.0,Sold,147,-2.84
135,3885,2025-05-25,7530000.0,Sold,47,-3.88
136,65,2023-11-02,7538000.0,Sold,8,0.65
137,2569,2024-06-20,14887000.0,Sold,72,1.22
