locality_id,city_id,locality_name,latitude,longitude,population_density,average_income,connectivity_score,safety_score,infrastructure_score,development_score,commercial_score
1,1,Bakshi Layout,18.541806,81.682426,3068,233394,58.6,61.6,46.6,55.3,42.4
2,1,Konda Colony,10.501784,80.175242,2790,834483,47.7,62.8,66.8,64.8,43.0
3,1,Dewan Enclave,11.789516,87.528562,19828,1284565,61.6,54.8,67.0,75.3,99.0
4,1,Chahal Extension,24.989119,78.029677,8461,831422,76.1,68.6,63.1,57.0,25.4
5,1,Balay Hills,9.517915,78.056219,4664,1218129,48.0,77.0,62.4,66.9,72.9
6,1,Chander Gardens,22.956927,82.382141,22405,868974,70.0,64.2,77.6,57.7,32.9
7,1,Kaul Nagar,18.12281,80.602359,11833,1188154,49.4,81.7,58.6,67.4,84.9
8,1,Issac Layout,16.41285,84.211043,7262,282853,66.3,71.1,54.6,62.4,50.6
9,1,Kannan Colony,11.824686,86.334664,14404,1306097,61.8,76.0,52.3,63.0,60.1
10,1,Mall Enclave,8.142519,80.416583,11600,453316,54.5,65.3,54.1,59.1,60.9
11,1,Dutta Extension,22.411889,78.136259,24350,875349,59.1,75.4,54.8,51.0,59.3
12,1,Oak Hills,10.970345,80.086518,24669,1730602,36.2,70.7,59.5,54.6,51.2
13,1,Dugal Gardens,20.96227,82.319711,14322,1180850,76.5,60.7,39.3,61.6,39.0
14,1,Nayar Nagar,21.226042,75.20268,17891,765595,50.1,71.2,49.8,49.4,24.0
15,1,Chanda Layout,21.529673,85.166944,14769,641327,74.3,65.3,57.1,64.8,47.9
16,2,Chatterjee Colony,22.882091,86.405209,22402,2182246,40.9,73.1,63.3,45.3,30.3
17,2,Padmanabhan Enclave,22.183852,82.6054,7158,2221572,74.3,72.7,81.9,67.0,58.5
18,2,Bassi Extension,21.481064,81.308783,4154,1221242,50.4,83.9,74.2,71.1,74.3
19,2,Yadav Hills,18.30406,81.44201,13327,1569713,44.5,80.5,46.1,61.8,79.2
20,2,Radhakrishnan Gardens,8.316861,86.888938,11848,2002729,74.4,57.1,44.6,60.8,50.5
21,2,Memon Nagar,19.414426,87.010399,18008,1508217,58.2,82.5,74.0,60.9,36.5
22,2,Handa Layout,22.288823,83.388503,10268,1027969,51.7,70.7,62.8,63.7,62.2
23,2,Bath Colony,18.281084,84.873575,16949,1867640,78.6,73.7,49.1,68.5,55.5
24,2,Mann Enclave,19.854743,73.057105,12708,2168541,79.3,66.2,71.7,65.3,39.5
25,2,Kaul Extension,18.705987,84.4349,6963,1761490,38.2,65.0,66.4,50.1,37.1
26,2,Rai Hills,22.884872,87.625707,13874,1322638,54.0,70.5,63.9,72.2,97.9
27,2,Setty Gardens,11.552534,74.924774,7755,712436,80.7,64.7,48.7,68.0,39.6
28,2,Gaba Nagar,16.601801,76.33983,10187,2263827,91.5,54.9,67.3,83.3,97.4
29,2,Pant Layout,16.893959,78.676823,16164,1154131,61.4,69.8,93.7,65.8,29.1
30,2,Loke Colony,21.503219,75.025484,3623,852325,58.4,87.3,62.4,69.4,78.3
31,3,Garg Enclave,21.187408,79.60292,14549,1448422,62.0,77.8,61.1,62.3,17.1
32,3,Gade Extension,25.319944,72.860715,20732,1084867,62.7,73.4,70.6,62.4,50.8
33,3,Raghavan Hills,24.471359,76.871536,6081,2092443,55.7,81.4,53.6,64.4,62.2
