rental_id,property_id,rental_date,monthly_rent,vacancy_days,lease_duration,monthly_rent_is_outlier
1,7424,2025-06-21,26600.0,32,11,False
2,7761,2026-07-05,45800.0,13,24,False
3,877,2025-07-24,14200.0,12,36,False
4,5511,2024-02-04,63800.0,7,12,False
5,5343,2023-01-08,26900.0,27,11,False
6,5306,2025-11-17,25000.0,40,11,False
7,3860,2025-05-30,34200.0,1,11,False
8,3165,2026-08-01,45000.0,12,11,False
9,5858,2024-07-03,28100.0,44,12,False
10,6396,2022-11-07,45500.0,24,11,False
11,472,2025-07-10,30600.0,28,11,False
12,5454,2023-02-15,52900.0,10,12,False
13,4530,2026-05-14,70800.0,19,11,False
14,5701,2022-12-14,24000.0,14,12,False
15,6362,2025-03-16,39400.0,24,11,False
16,3527,2024-09-24,20900.0,0,12,False
17,3247,2024-12-07,23600.0,6,11,False
18,2986,2024-03-23,33000.0,43,11,False
19,7992,2026-06-29,28000.0,42,11,False
20,131,2026-05-19,46800.0,35,24,False
21,1723,2026-01-09,29600.0,12,11,False
22,7632,2024-04-02,40800.0,36,12,False
23,783,2023-06-29,31700.0,55,24,False
24,2443,2023-12-15,23200.0,26,11,False
25,5734,2026-03-05,32500.0,39,11,False
26,7739,2024-11-05,32300.0,39,24,False
27,7100,2023-05-31,19400.0,31,11,False
28,2487,2023-12-03,29500.0,9,12,False
29,5430,2025-01-23,47500.0,13,11,False
30,5164,2023-09-09,38500.0,5,12,False
31,6557,2025-04-25,20700.0,30,11,False
32,1212,2024-06-22,38200.0,45,36,False
33,4660,2024-10-27,38300.0,24,24,False
34,3468,2022-08-30,56400.0,37,11,False
35,4211,2025-05-19,36800.0,32,11,False
36,6533,2022-10-30,19300.0,19,11,False
37,4951,2023-05-18,23100.0,30,24,False
38,2971,2023-08-09,48600.0,34,36,False
39,7887,2025-08-14,17000.0,24,24,False
40,480,2024-07-18,27400.0,22,12,False
41,1108,2024-07-12,60800.0,0,12,False
42,2615,2025-07-23,24800.0,30,12,False
43,2092,2024-10-19,51300.0,2,36,False
44,7801,2023-08-12,26200.0,43,11,False
45,2808,2022-08-28,67600.0,21,12,False
46,993,2025-03-15,55300.0,56,24,False
47,1847,2024-11-20,52900.0,33,24,False
48,190,2023-04-16,37500.0,20,11,False
49,7254,2025-01-17,68200.0,15,11,False
50,2795,2024-05-12,30000.0,53,11,False
51,3076,2023-08-08,22400.0,21,11,False
52,4764,2023-05-24,28600.0,21,12,False
