locality_id,locality_name,city_name,latest_price_sqft,yoy_price_growth_pct,mom_price_growth_pct,latest_demand_index,latest_supply_index,latest_absorption_rate,latest_avg_days_on_market,location_score,demand_supply_rank,growth_rank
21,Memon Nagar,Bengaluru,22433.4,20.72,1.26,99.0,51.1,6.35,64.0,58.8,1,27
22,Handa Layout,Bengaluru,20659.0,8.51,0.56,99.0,69.1,2.542,78.0,50.1,1,64
61,Misra Hills,Delhi NCR,16616.2,10.94,1.67,99.0,60.3,6.45,63.0,55.7,1,54
57,Dugar Layout,Hyderabad,14269.5,12.54,1.1,99.0,55.9,1.797,69.0,47.9,1,48
54,Yadav Hills,Hyderabad,1624763.0,143.37,7.99,99.0,15.0,4.8,60.0,65.8,1,2
63,Edwin Nagar,Delhi NCR,17533.0,13.3,1.33,99.0,55.5,5.35,77.0,57.9,1,42
72,Gandhi Colony,Delhi NCR,21433.1,17.86,1.72,99.0,51.0,3.517,57.0,53.5,1,34
71,Dave Layout,Delhi NCR,11918.3,6.24,0.25,99.0,62.7,2.375,90.0,46.8,1,70
81,Karpe Extension,Chennai,20066.0,8.96,0.7,99.0,66.0,2.308,74.0,51.4,1,63
77,Varughese Nagar,Chennai,73779.9,75.02,6.33,99.0,19.2,5.55,75.0,52.0,1,7
89,Solanki Hills,Chennai,33455.7,23.27,0.95,99.0,50.8,6.25,41.0,63.9,1,25
88,Kala Extension,Chennai,19307.4,9.53,0.12,99.0,62.3,2.17,69.0,56.9,1,60
5,Balay Hills,Mumbai,14088.0,4.96,0.29,98.4,68.3,6.05,75.0,55.1,13,73
51,Raj Colony,Hyderabad,46121.9,23.57,1.67,98.3,45.1,2.408,62.0,58.3,14,23
53,Apte Extension,Hyderabad,18041.0,7.69,1.28,98.3,63.6,6.4,85.0,63.5,14,68
17,Padmanabhan Enclave,Bengaluru,21909.8,7.73,0.4,98.3,68.3,5.7,68.0,62.5,14,67
69,Chada Gardens,Delhi NCR,50924.8,31.31,2.4,98.3,39.4,2.062,53.0,47.2,14,16
85,Narayanan Layout,Chennai,30233.1,13.1,1.41,98.3,54.3,6.65,58.0,65.1,14,43
12,Oak Hills,Mumbai,22254.9,24.13,1.4,97.6,39.2,5.1,59.0,48.7,19,22
2,Konda Colony,Mumbai,28403.3,28.01,1.45,97.0,44.1,1.605,69.0,51.7,20,18
70,Biswas Nagar,Delhi NCR,96832.0,63.49,5.57,96.8,21.6,5.55,51.0,69.7,21,8
55,Oak Gardens,Hyderabad,14703.8,9.95,0.96,96.4,69.0,5.7,75.0,51.8,22,58
8,Issac Layout,Mumbai,15806.8,10.51,1.07,96.2,59.5,6.0,57.0,60.0,23,57
64,Naik Layout,Delhi NCR,47724.9,52.63,4.86,96.1,26.4,5.55,55.0,61.9,24,10
47,Chand Hills,Hyderabad,22096.3,14.16,0.58,95.5,53.1,6.0,58.0,54.1,25,38
83,Bhargava Gardens,Chennai,33864.8,23.54,1.98,95.4,41.8,2.366,52.0,60.3,26,24
32,Gade Extension,Pune,29487.2,16.79,1.82,95.2,54.2,3.333,53.0,54.7,27,35
26,Rai Hills,Bengaluru,26689.1,11.27,0.97,95.2,58.2,1.778,87.0,54.8,27,53
67,Khatri Extension,Delhi NCR,106923.2,37.37,3.16,95.0,30.9,6.15,71.0,60.5,29,13
66,Patil Enclave,Delhi NCR,18554.4,13.35,0.64,93.8,51.6,5.1,67.0,57.3,30,41
19,Yadav Hills,Bengaluru,128275.3,92.85,5.99,92.9,19.6,2.442,45.0,60.2,31,5
40,Tata Hills,Pune,18334.3,11.68,1.14,92.7,56.2,4.571,53.0,55.5,32,51
