property_id,property_type,bedrooms,area_sqft,asking_price,predicted_valuation,valuation_gap_pct,predicted_rent,locality_name,decision,decision_score,decision_confidence
1,Apartment,3,1099,11491000.0,11172758.0,-2.77,31346.0,Kakar Extension,INSUFFICIENT,37.5,49.2
26,Apartment,5,1729,19276000.0,20702522.0,7.4,51210.0,Bhatti Enclave,INVEST,67.6,75.8
195,Villa,3,1228,13378000.0,13891974.0,3.84,37417.0,Mann Enclave,AVOID,26.2,81.7
1084,Apartment,2,1131,14565000.0,14122247.0,-3.04,37874.0,Mann Enclave,AVOID,21.8,81.7
1239,Apartment,4,1723,19283000.0,18428343.0,-4.43,49777.0,Amble Hills,HOLD,62.6,75.8
1256,Apartment,1,519,6610000.0,6538271.0,-1.09,17659.0,Mann Enclave,AVOID,23.9,81.7
1647,Apartment,4,1936,23797000.0,20489873.0,-13.9,56083.0,Gade Extension,HOLD,62.6,81.7
2731,Studio,5,2215,21353000.0,22643569.0,6.04,48941.0,Gade Extension,INVEST,69.2,81.7
3559,Row House,3,1318,14920000.0,15043567.0,0.83,41560.0,Padmanabhan Enclave,HOLD,57.6,75.8
4043,Apartment,4,1595,16798000.0,17385449.0,3.5,50071.0,Chand Hills,INVEST,67.6,75.8
5053,Apartment,3,1237,16677000.0,15046883.0,-9.77,41008.0,Narayanan Layout,INVEST,68.1,81.7
5177,Studio,2,1115,9251000.0,9773688.0,5.65,26802.0,Bir Nagar,HOLD,47.6,81.7
5342,Studio,2,1105,10418000.0,11145525.0,6.98,30988.0,Amble Hills,INVEST,67.0,75.8
5354,Apartment,3,1239,9888000.0,11614531.0,17.46,31375.0,Chatterjee Colony,AVOID,32.4,75.8
5565,Studio,4,1653,13770000.0,15127903.0,9.86,45225.0,Dutta Nagar,AVOID,25.1,81.7
5648,Apartment,3,1183,14246000.0,12109024.0,-15.0,35699.0,Devi Extension,HOLD,47.4,75.8
5691,Apartment,3,1376,12074000.0,12093130.0,0.16,36402.0,Bahl Colony,HOLD,56.2,81.7
5842,Penthouse,3,1400,10251000.0,14050549.0,37.07,38279.0,Mallick Enclave,HOLD,59.2,75.8
5923,Apartment,2,1256,13858000.0,11429909.0,-17.52,32122.0,Varkey Colony,AVOID,22.1,75.8
6007,Apartment,5,2042,22081000.0,22559700.0,2.17,64314.0,Rattan Colony,HOLD,58.7,81.7
6644,Penthouse,2,911,8608000.0,10169273.0,18.14,26711.0,Murty Extension,AVOID,33.5,75.8
6687,Villa,4,1598,17494000.0,18011403.0,2.96,52792.0,Choudhary Gardens,HOLD,58.6,75.8
7269,Row House,3,1348,13770000.0,15184225.0,10.27,40053.0,Muni Hills,HOLD,37.2,75.8
7622,Studio,4,1605,16078000.0,17618051.0,9.58,51272.0,Devi Extension,HOLD,56.1,75.8
7672,Studio,4,1760,20375000.0,19124885.0,-6.14,52187.0,Handa Layout,HOLD,49.9,81.7
7944,Apartment,2,1051,10854000.0,11627606.0,7.13,30870.0,Chand Hills,INVEST,69.0,75.8
