property_id,gross_yield,net_yield,cap_rate,cash_on_cash_return,dscr,roi_total_holding_period,irr,npv,payback_period_years,terminal_value_cagr,locality_name,asking_price,irr_mean,irr_std,npv_mean,probability_negative_npv,probability_meets_target_irr,var_95_npv,cvar_95_npv,stability_pct,base_case_label
2731,0.0212,0.0178,0.0178,0.0166,,1.2377,0.1785,9157772.97,4.43,0.1866,Gade Extension,21353000.0,0.1787,0.0236,9251478.34,0.0,1.0,4130306.84,3450858.59,100.0,INVEST
5053,0.0298,0.0243,0.0243,0.0228,,1.1356,0.1688,6096255.56,4.44,0.1716,Narayanan Layout,16677000.0,0.1685,0.0235,6127836.39,0.0,1.0,2348053.43,1821434.24,100.0,INVEST
7622,0.0405,0.0326,0.0326,0.0305,,0.7565,0.1247,1919739.04,4.54,0.1186,Devi Extension,16078000.0,0.1239,0.0232,1921379.82,0.1685,0.832,-1100236.34,-1534206.07,83.2,INVEST
5923,0.0371,0.0276,0.0276,0.0258,,0.1089,0.0219,-4356236.77,4.89,0.0136,Varkey Colony,13858000.0,0.0203,0.0231,-4365699.69,1.0,0.0,-6137962.97,-6399326.22,79.7,HOLD
5342,0.0374,0.033,0.033,0.0308,,1.0945,0.166,3585862.0,4.44,0.162,Amble Hills,10418000.0,0.1661,0.0232,3623800.85,0.0,1.0,1342736.58,1023425.07,100.0,INVEST
3559,0.0273,0.0236,0.0236,0.0221,,0.6932,0.1148,1061369.64,4.57,0.1156,Padmanabhan Enclave,14920000.0,0.115,0.0234,1143362.22,0.2735,0.7275,-1614674.68,-2015846.02,72.7,INVEST
1256,0.0289,0.0257,0.0257,0.024,,-0.0641,-0.0139,-2846178.7,,-0.0229,Mann Enclave,6610000.0,-0.0135,0.0228,-2796007.43,1.0,0.0,-3518435.36,-3626508.49,72.3,AVOID
5691,0.0396,0.035,0.035,0.0327,,0.9443,0.1488,2967607.59,4.48,0.1422,Bahl Colony,12074000.0,0.1489,0.0231,3016082.31,0.012,0.988,555418.06,204767.64,98.8,INVEST
5354,0.0263,0.0217,0.0217,0.0203,,0.1207,0.024,-3070449.81,4.88,0.0216,Chatterjee Colony,9888000.0,0.0239,0.0232,-3015703.08,1.0,0.0,-4303628.77,-4493663.15,83.4,HOLD
7672,0.0355,0.0318,0.0318,0.0297,,0.7228,0.1201,1965556.72,4.55,0.1144,Handa Layout,20375000.0,0.1204,0.0231,2076488.16,0.198,0.8025,-1673170.52,-2219277.38,80.2,INVEST
