locality_id,locality_name,city,state,latitude,longitude,validation_status,location_score,accessibility_score,total_items,n_planned,n_completed,social_score,transit_score,commercial_score,flood_risk_status,environmental_risk_status,infrastructure_delivery_risk_score,infrastructure_concentration_risk_score
1,Bakshi Layout,Mumbai,Maharashtra,18.541806,81.682426,PASS WITH LIMITATIONS,43.8,34.6,1,0,1,,10.6,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
2,Konda Colony,Mumbai,Maharashtra,10.501784,80.175242,PASS WITH LIMITATIONS,51.7,47.7,2,0,2,3.6,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,0.2
3,Dewan Enclave,Mumbai,Maharashtra,11.789516,87.528562,PASS WITH LIMITATIONS,54.5,33.7,3,0,3,10.7,,5.8,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,0.9
4,Chahal Extension,Mumbai,Maharashtra,24.989119,78.029677,PASS,46.6,28.7,4,1,3,13.5,7.9,2.0,INSUFFICIENT DATA,INSUFFICIENT DATA,12.7,3.3
5,Balay Hills,Mumbai,Maharashtra,9.517915,78.056219,PASS,55.1,20.5,2,2,0,,9.5,3.9,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,7.1
6,Chander Gardens,Mumbai,Maharashtra,22.956927,82.382141,PASS WITH LIMITATIONS,59.5,54.0,1,1,0,,37.9,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
7,Kaul Nagar,Mumbai,Maharashtra,18.12281,80.602359,PASS WITH LIMITATIONS,56.2,27.2,1,1,0,,,5.0,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
8,Issac Layout,Mumbai,Maharashtra,16.41285,84.211043,PASS WITH LIMITATIONS,60.0,66.3,1,0,1,9.4,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
9,Kannan Colony,Mumbai,Maharashtra,11.824686,86.334664,PASS WITH LIMITATIONS,55.1,61.8,1,1,0,3.6,,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
10,Mall Enclave,Mumbai,Maharashtra,8.142519,80.416583,PASS WITH LIMITATIONS,55.4,30.2,2,0,2,9.8,6.0,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,3.6
11,Dutta Extension,Mumbai,Maharashtra,22.411889,78.136259,PASS WITH LIMITATIONS,49.4,41.1,2,2,0,,23.2,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.8
12,Oak Hills,Mumbai,Maharashtra,10.970345,80.086518,PASS,48.7,16.7,2,2,0,,7.0,6.8,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,1.5
13,Dugal Gardens,Mumbai,Maharashtra,20.96227,82.319711,PASS WITH LIMITATIONS,52.6,45.8,3,2,1,7.2,15.0,,INSUFFICIENT DATA,INSUFFICIENT DATA,66.8,0.5
14,Nayar Nagar,Mumbai,Maharashtra,21.226042,75.20268,PASS WITH LIMITATIONS,44.8,33.9,4,2,2,7.7,17.7,,INSUFFICIENT DATA,INSUFFICIENT DATA,56.1,3.8
15,Chanda Layout,Mumbai,Maharashtra,21.529673,85.166944,PASS WITH LIMITATIONS,55.8,41.4,2,2,0,,8.6,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,10.6
16,Chatterjee Colony,Bengaluru,Karnataka,22.882091,86.405209,PASS WITH LIMITATIONS,42.7,40.9,1,0,1,8.8,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
17,Padmanabhan Enclave,Bengaluru,Karnataka,22.183852,82.6054,PASS WITH LIMITATIONS,62.5,39.5,2,1,1,5.8,,4.7,INSUFFICIENT DATA,INSUFFICIENT DATA,51.9,0.1
18,Bassi Extension,Bengaluru,Karnataka,21.481064,81.308783,PASS WITH LIMITATIONS,55.5,29.2,2,2,0,,8.0,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,9.7
19,Yadav Hills,Bengaluru,Karnataka,18.30406,81.44201,PASS WITH LIMITATIONS,60.2,44.5,1,0,1,3.3,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
20,Radhakrishnan Gardens,Bengaluru,Karnataka,8.316861,86.888938,PASS,46.9,30.2,3,0,3,,8.4,7.7,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,4.8
21,Memon Nagar,Bengaluru,Karnataka,19.414426,87.010399,PASS WITH LIMITATIONS,58.8,38.6,2,1,1,12.6,,19.0,INSUFFICIENT DATA,INSUFFICIENT DATA,47.0,0.4
22,Handa Layout,Bengaluru,Karnataka,22.288823,83.388503,PASS,50.1,23.4,3,2,1,6.7,10.6,7.8,INSUFFICIENT DATA,INSUFFICIENT DATA,71.2,2.9
23,Bath Colony,Bengaluru,Karnataka,18.281084,84.873575,PASS WITH LIMITATIONS,58.5,78.6,1,0,1,2.3,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
24,Mann Enclave,Bengaluru,Karnataka,19.854743,73.057105,PASS,51.5,31.4,4,3,1,,9.3,5.5,INSUFFICIENT DATA,INSUFFICIENT DATA,71.6,1.4
25,Kaul Extension,Bengaluru,Karnataka,18.705987,84.4349,PASS WITH LIMITATIONS,40.3,23.6,3,1,2,,8.9,,INSUFFICIENT DATA,INSUFFICIENT DATA,44.4,3.4
26,Rai Hills,Bengaluru,Karnataka,22.884872,87.625707,PASS,54.8,22.7,3,2,1,,10.6,3.6,INSUFFICIENT DATA,INSUFFICIENT DATA,60.5,1.2
27,Setty Gardens,Bengaluru,Karnataka,11.552534,74.924774,PASS WITH LIMITATIONS,51.5,41.8,1,1,0,,,2.9,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
28,Gaba Nagar,Bengaluru,Karnataka,16.601801,76.33983,PASS,70.5,38.8,2,2,0,,18.7,6.3,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.6
29,Pant Layout,Bengaluru,Karnataka,16.893959,78.676823,PASS WITH LIMITATIONS,57.0,34.1,3,3,0,4.8,,6.8,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,4.0
30,Loke Colony,Bengaluru,Karnataka,21.503219,75.025484,PASS WITH LIMITATIONS,62.5,33.0,1,1,0,,7.7,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
31,Garg Enclave,Pune,Maharashtra,21.187408,79.60292,PASS,47.0,31.2,4,4,0,3.0,14.4,17.1,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,2.9
32,Gade Extension,Pune,Maharashtra,25.319944,72.860715,PASS,54.7,30.5,4,1,3,25.6,19.5,9.3,INSUFFICIENT DATA,INSUFFICIENT DATA,27.9,0.5
33,Raghavan Hills,Pune,Maharashtra,24.471359,76.871536,PASS WITH LIMITATIONS,50.7,30.6,2,0,2,,5.4,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,4.3
34,Kanda Gardens,Pune,Maharashtra,14.986473,86.926739,PASS WITH LIMITATIONS,64.3,41.1,1,1,0,,6.1,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
35,Bhalla Nagar,Pune,Maharashtra,24.942378,77.460769,PASS WITH LIMITATIONS,60.2,45.5,4,2,2,5.2,2.7,,INSUFFICIENT DATA,INSUFFICIENT DATA,34.4,4.3
36,Balay Layout,Pune,Maharashtra,14.010821,77.5943,PASS,51.6,25.8,2,1,1,,2.0,5.5,INSUFFICIENT DATA,INSUFFICIENT DATA,65.7,9.8
37,Rattan Colony,Pune,Maharashtra,26.197936,77.939183,PASS,50.2,35.1,3,3,0,,22.8,5.9,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,1.7
38,Bhatti Enclave,Pune,Maharashtra,9.491642,85.238831,PASS WITH LIMITATIONS,52.0,38.9,1,1,0,,,6.6,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
39,Murty Extension,Pune,Maharashtra,26.580265,74.223561,PASS WITH LIMITATIONS,50.1,44.2,4,4,0,9.3,6.1,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,4.1
40,Tata Hills,Pune,Maharashtra,27.724537,78.310494,PASS,55.5,23.6,3,2,1,7.3,3.7,2.5,INSUFFICIENT DATA,INSUFFICIENT DATA,67.8,15.6
41,Shanker Gardens,Pune,Maharashtra,18.723506,82.255679,PASS,60.5,25.9,3,1,2,,8.1,9.6,INSUFFICIENT DATA,INSUFFICIENT DATA,34.5,0.0
42,Lanka Nagar,Pune,Maharashtra,13.686314,75.415878,PASS WITH LIMITATIONS,63.4,51.0,2,1,1,8.1,4.8,,INSUFFICIENT DATA,INSUFFICIENT DATA,55.0,1.0
43,Koshy Layout,Pune,Maharashtra,11.333647,86.619371,PASS WITH LIMITATIONS,48.6,44.6,1,0,1,,8.8,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
44,Sangha Colony,Pune,Maharashtra,27.883245,85.552843,PASS WITH LIMITATIONS,55.0,34.2,1,1,0,,23.1,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
45,Pathak Enclave,Pune,Maharashtra,28.494212,87.947871,PASS,37.6,15.4,3,1,2,,6.5,11.6,INSUFFICIENT DATA,INSUFFICIENT DATA,20.5,6.6
46,Devi Extension,Hyderabad,Telangana,12.687178,82.911361,PASS WITH LIMITATIONS,51.0,36.8,1,1,0,,15.3,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
47,Chand Hills,Hyderabad,Telangana,25.469721,81.054556,PASS WITH LIMITATIONS,54.1,28.4,1,1,0,,4.3,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
48,Choudhary Gardens,Hyderabad,Telangana,10.795615,72.725442,PASS WITH LIMITATIONS,56.7,61.3,2,1,1,19.6,,,INSUFFICIENT DATA,INSUFFICIENT DATA,63.5,7.3
49,Dutta Nagar,Hyderabad,Telangana,24.064887,78.646413,PASS,47.5,16.7,2,0,2,,5.0,6.0,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,4.9
50,Bhatt Layout,Hyderabad,Telangana,20.984718,76.222257,PASS WITH LIMITATIONS,42.6,39.4,1,1,0,8.0,,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
51,Raj Colony,Hyderabad,Telangana,11.532557,75.48048,PASS WITH LIMITATIONS,58.3,29.8,1,0,1,,,11.1,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
52,Wadhwa Enclave,Hyderabad,Telangana,18.320054,83.20112,PASS WITH LIMITATIONS,42.4,30.4,3,3,0,4.6,3.7,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.6
53,Apte Extension,Hyderabad,Telangana,12.291661,78.242318,PASS WITH LIMITATIONS,63.5,42.1,3,1,2,5.3,11.5,,INSUFFICIENT DATA,INSUFFICIENT DATA,32.7,0.9
54,Yadav Hills,Hyderabad,Telangana,18.489388,80.747759,PASS,65.8,16.5,3,2,1,4.7,4.8,2.4,INSUFFICIENT DATA,INSUFFICIENT DATA,55.5,3.9
55,Oak Gardens,Hyderabad,Telangana,14.602623,75.777444,PASS WITH LIMITATIONS,51.8,50.9,2,2,0,,13.9,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.3
56,Memon Nagar,Hyderabad,Telangana,20.030243,84.054312,PASS WITH LIMITATIONS,66.8,47.0,3,1,2,5.0,3.8,,INSUFFICIENT DATA,INSUFFICIENT DATA,42.2,2.0
57,Dugar Layout,Hyderabad,Telangana,28.223563,81.88951,PASS WITH LIMITATIONS,47.9,36.8,1,0,1,,,14.4,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
58,Aggarwal Colony,Hyderabad,Telangana,16.413135,87.726869,PASS,51.5,21.9,3,2,1,,5.8,4.7,INSUFFICIENT DATA,INSUFFICIENT DATA,68.8,0.1
59,Tella Enclave,Hyderabad,Telangana,21.707186,86.905328,PASS WITH LIMITATIONS,49.3,38.0,3,2,1,3.3,5.1,,INSUFFICIENT DATA,INSUFFICIENT DATA,66.3,3.6
60,Tripathi Extension,Hyderabad,Telangana,18.406013,76.257351,PASS WITH LIMITATIONS,41.2,24.6,1,0,1,,,9.1,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
61,Misra Hills,Delhi NCR,Delhi,9.062383,77.717366,PASS WITH LIMITATIONS,55.7,25.9,4,4,0,4.1,9.6,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,2.8
62,Dua Gardens,Delhi NCR,Delhi,17.667312,78.883534,PASS,63.1,29.3,4,4,0,12.6,3.4,4.5,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.7
63,Edwin Nagar,Delhi NCR,Delhi,24.30298,75.625223,PASS WITH LIMITATIONS,57.9,36.0,1,1,0,,,4.6,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
64,Naik Layout,Delhi NCR,Delhi,16.045125,85.157291,PASS,61.9,26.8,4,0,4,5.3,3.3,6.1,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,1.7
65,Bahl Colony,Delhi NCR,Delhi,26.441279,78.450314,PASS,38.8,29.6,2,2,0,,7.1,26.9,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,4.7
66,Patil Enclave,Delhi NCR,Delhi,20.711491,80.768647,PASS WITH LIMITATIONS,57.3,39.9,4,1,3,,11.2,,INSUFFICIENT DATA,INSUFFICIENT DATA,28.3,1.0
67,Khatri Extension,Delhi NCR,Delhi,25.973696,77.802267,PASS WITH LIMITATIONS,60.5,31.6,3,2,1,5.7,5.5,,INSUFFICIENT DATA,INSUFFICIENT DATA,65.2,0.6
68,Khosla Hills,Delhi NCR,Delhi,22.760749,82.437788,PASS,48.0,38.2,4,2,2,3.8,29.7,23.9,INSUFFICIENT DATA,INSUFFICIENT DATA,61.9,4.2
69,Chada Gardens,Delhi NCR,Delhi,16.217454,79.66109,PASS,47.2,21.6,2,0,2,,19.7,4.7,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,1.6
70,Biswas Nagar,Delhi NCR,Delhi,22.281342,86.79874,PASS WITH LIMITATIONS,69.7,69.2,1,0,1,6.8,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
71,Dave Layout,Delhi NCR,Delhi,26.974155,79.48801,PASS WITH LIMITATIONS,46.8,35.1,2,2,0,39.1,1.4,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,29.1
72,Gandhi Colony,Delhi NCR,Delhi,24.458496,72.571796,PASS,53.5,30.1,2,1,1,,6.6,17.8,INSUFFICIENT DATA,INSUFFICIENT DATA,52.4,0.2
73,Wable Enclave,Delhi NCR,Delhi,17.270468,75.981375,PASS,51.1,36.1,3,3,0,,24.6,5.9,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,2.7
74,Kakar Extension,Delhi NCR,Delhi,19.902061,82.300096,PASS WITH LIMITATIONS,45.9,37.6,3,1,2,,,14.0,INSUFFICIENT DATA,INSUFFICIENT DATA,14.7,7.9
75,Muni Hills,Delhi NCR,Delhi,20.205393,73.539685,PASS WITH LIMITATIONS,46.9,26.9,3,3,0,6.0,4.1,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,11.0
76,Prakash Gardens,Chennai,Tamil Nadu,19.579243,73.518484,PASS WITH LIMITATIONS,54.5,68.0,1,0,1,6.2,,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
77,Varughese Nagar,Chennai,Tamil Nadu,11.729527,85.857677,PASS,52.0,46.2,2,2,0,,47.4,5.3,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,26.7
78,Dara Layout,Chennai,Tamil Nadu,8.555468,75.940569,PASS WITH LIMITATIONS,47.0,26.9,3,2,1,,10.0,,INSUFFICIENT DATA,INSUFFICIENT DATA,66.1,1.2
79,Kar Colony,Chennai,Tamil Nadu,12.98503,83.695137,PASS,49.1,26.6,2,2,0,,3.9,9.3,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,10.6
80,Nigam Enclave,Chennai,Tamil Nadu,8.266539,73.825382,PASS WITH LIMITATIONS,59.0,33.0,3,1,2,3.2,,6.5,INSUFFICIENT DATA,INSUFFICIENT DATA,58.8,15.1
81,Karpe Extension,Chennai,Tamil Nadu,13.495305,82.174308,PASS WITH LIMITATIONS,51.4,22.6,4,3,1,6.1,5.1,,INSUFFICIENT DATA,INSUFFICIENT DATA,76.4,4.7
82,Amble Hills,Chennai,Tamil Nadu,25.803594,80.055184,PASS WITH LIMITATIONS,52.4,31.8,1,0,1,,29.9,,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
83,Bhargava Gardens,Chennai,Tamil Nadu,25.11607,87.758234,PASS WITH LIMITATIONS,60.3,34.0,1,1,0,,,8.0,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
84,Bir Nagar,Chennai,Tamil Nadu,21.354118,85.360998,PASS,46.6,25.8,4,3,1,19.0,13.9,6.5,INSUFFICIENT DATA,INSUFFICIENT DATA,70.4,1.6
85,Narayanan Layout,Chennai,Tamil Nadu,15.85434,80.543224,PASS,65.1,34.1,2,1,1,,7.5,5.5,INSUFFICIENT DATA,INSUFFICIENT DATA,49.5,0.0
86,Varkey Colony,Chennai,Tamil Nadu,13.918222,78.012927,PASS WITH LIMITATIONS,48.7,40.1,1,1,0,,7.4,,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
