property_id,decision,decision_score,decision_confidence,data_quality_status,model_status,evidence_status
1,INSUFFICIENT,37.5,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
2731,INVEST,69.2,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5053,INVEST,68.1,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
7622,HOLD,56.1,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5923,AVOID,22.1,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5342,INVEST,67.0,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
3559,HOLD,57.6,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
1256,AVOID,23.9,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5691,HOLD,56.2,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5354,AVOID,32.4,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
7672,HOLD,49.9,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
195,AVOID,26.2,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
6007,HOLD,58.7,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5842,HOLD,59.2,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
26,INVEST,67.6,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5648,HOLD,47.4,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
1647,HOLD,62.6,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
7944,INVEST,69.0,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5177,HOLD,47.6,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
4043,INVEST,67.6,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
6644,AVOID,33.5,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
1084,AVOID,21.8,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
6687,HOLD,58.6,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
7269,HOLD,37.2,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5565,AVOID,25.1,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
1239,HOLD,62.6,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
