property_id,scenario,validation_status,irr,npv,roi_total_holding_period,cap_rate,cash_on_cash_return
2731,Downside,PASS,0.13,3207691.07,0.8186,0.0174,0.0163
2731,Base,PASS,0.1785,9157772.97,1.2377,0.0178,0.0166
2731,Upside,PASS,0.2076,13237348.46,1.525,0.018,0.0168
5053,Downside,PASS,0.119,1546243.36,0.7275,0.0218,0.0204
5053,Base,PASS,0.1688,6096255.56,1.1356,0.0243,0.0228
5053,Upside,PASS,0.1984,9195439.19,1.414,0.0256,0.0239
7622,Downside,PASS,0.0738,-1869854.83,0.4066,0.0279,0.0261
7622,Base,PASS,0.1247,1919739.04,0.7565,0.0326,0.0305
7622,Upside,PASS,0.1548,4487760.41,0.9945,0.035,0.0327
5923,Downside,PASS,-0.031,-6707435.65,-0.1399,0.0212,0.0198
5923,Base,PASS,0.0219,-4356236.77,0.1089,0.0276,0.0258
5923,Upside,PASS,0.0528,-2772225.77,0.2776,0.0308,0.0288
5342,Downside,PASS,0.1177,880234.41,0.705,0.0316,0.0295
5342,Base,PASS,0.166,3585862.0,1.0945,0.033,0.0308
5342,Upside,PASS,0.1949,5438571.1,1.3615,0.0337,0.0315
3559,Downside,PASS,0.0667,-2189925.65,0.3658,0.023,0.0215
3559,Base,PASS,0.1148,1061369.64,0.6932,0.0236,0.0221
3559,Upside,PASS,0.1436,3305785.36,0.9192,0.024,0.0224
1256,Downside,PASS,-0.0604,-3681515.55,-0.254,0.0254,0.0237
1256,Base,PASS,-0.0139,-2846178.7,-0.0641,0.0257,0.024
1256,Upside,PASS,0.0142,-2257469.46,0.0697,0.0259,0.0242
5691,Downside,PASS,0.1007,38993.62,0.5806,0.0336,0.0314
5691,Base,PASS,0.1488,2967607.59,0.9443,0.035,0.0327
5691,Upside,PASS,0.1776,4976685.07,1.194,0.0357,0.0334
5354,Downside,PASS,-0.0247,-4615573.42,-0.1129,0.0201,0.0188
5354,Base,PASS,0.024,-3070449.81,0.1207,0.0217,0.0203
5354,Upside,PASS,0.053,-1998223.64,0.2831,0.0225,0.021
7672,Downside,PASS,0.0726,-2459397.14,0.3967,0.0311,0.0291
7672,Base,PASS,0.1201,1965556.72,0.7228,0.0318,0.0297
7672,Upside,PASS,0.1487,5019789.71,0.9481,0.0322,0.0301
195,Downside,PASS,-0.0677,-7780420.78,-0.2844,0.0189,0.0177
195,Base,PASS,-0.0187,-6004775.25,-0.0867,0.0209,0.0195
195,Upside,PASS,0.0104,-4770782.45,0.0511,0.0219,0.0205
6007,Downside,PASS,0.0981,-193205.4,0.5647,0.0316,0.0295
6007,Base,PASS,0.1463,5138592.77,0.9267,0.033,0.0308
6007,Upside,PASS,0.1751,8797652.65,1.1755,0.0336,0.0314
5842,Downside,PASS,0.0688,-1382634.0,0.3688,0.0375,0.035
5842,Base,PASS,0.1161,775910.07,0.6847,0.0385,0.036
5842,Upside,PASS,0.1445,2265262.28,0.9028,0.039,0.0365
26,Downside,PASS,0.1218,2008829.47,0.7305,0.0357,0.0334
26,Base,PASS,0.1691,6962290.08,1.1168,0.0362,0.0338
26,Upside,PASS,0.1977,10366526.06,1.3824,0.0364,0.034
5648,Downside,PASS,0.0781,-1382247.49,0.4304,0.033,0.0308
5648,Base,PASS,0.1257,1772327.65,0.7627,0.034,0.0317
5648,Upside,PASS,0.1544,3946129.41,0.9919,0.0344,0.0322
1647,Downside,PASS,0.1353,4202622.58,0.8512,0.0244,0.0228
1647,Base,PASS,0.1854,11091217.43,1.2835,0.0276,0.0258
1647,Upside,PASS,0.2152,15766471.09,1.5776,0.0292,0.0273
7944,Downside,PASS,0.1009,44226.37,0.582,0.0335,0.0313
7944,Base,PASS,0.1484,2650590.32,0.9427,0.0342,0.032
7944,Upside,PASS,0.1771,4443957.82,1.1911,0.0346,0.0323
5177,Downside,PASS,0.0575,-1673405.2,0.3035,0.0336,0.0314
5177,Base,PASS,0.1066,285504.88,0.6191,0.0367,0.0343
5177,Upside,PASS,0.1359,1624965.83,0.8355,0.0382,0.0357
4043,Downside,PASS,0.0993,-53347.13,0.5731,0.0316,0.0295
4043,Base,PASS,0.1481,4069207.77,0.9403,0.0337,0.0315
4043,Upside,PASS,0.1772,6889112.11,1.1919,0.0347,0.0325
6644,Downside,PASS,-0.0455,-4489115.59,-0.1983,0.0231,0.0216
6644,Base,PASS,0.0037,-3237938.92,0.0177,0.0258,0.0241
6644,Upside,PASS,0.033,-2374040.16,0.1674,0.0271,0.0253
1084,Downside,PASS,-0.0494,-7570476.76,-0.2082,0.0352,0.0329
1084,Base,PASS,-0.0021,-5628181.29,-0.0097,0.0374,0.0349
1084,Upside,PASS,0.0262,-4280148.63,0.1285,0.0384,0.0359
6687,Downside,PASS,0.093,-555900.31,0.5273,0.0343,0.032
6687,Base,PASS,0.1412,3571692.47,0.8807,0.0359,0.0335
6687,Upside,PASS,0.17,6403258.92,1.1235,0.0367,0.0343
7269,Downside,PASS,0.0023,-5177866.54,0.011,0.0325,0.0304
7269,Base,PASS,0.0509,-2834710.7,0.2643,0.0352,0.0329
7269,Upside,PASS,0.0799,-1222569.42,0.4391,0.0365,0.0341
5565,Downside,PASS,-0.0491,-7290628.36,-0.2117,0.0245,0.0229
5565,Base,PASS,-0.001,-5380778.85,-0.0047,0.0262,0.0245
5565,Upside,PASS,0.0278,-4052049.71,0.1396,0.0271,0.0253
1239,Downside,PASS,0.1168,1546823.16,0.6998,0.0305,0.0285
1239,Base,PASS,0.165,6539968.68,1.0883,0.0317,0.0296
1239,Upside,PASS,0.1939,9961813.19,1.3548,0.0323,0.0301
