property_id,locality_name,calibration_status,n_simulations_valid,target_irr,irr_mean,irr_std,npv_mean,probability_negative_npv,probability_negative_irr,probability_meets_target_irr,var_95_npv,cvar_95_npv,base_case_label,majority_label,stability_pct,unstable
2731,Gade Extension,UNCALIBRATED,2000,0.1,0.1787,0.0236,9251478.34,0.0,0.0,1.0,4130306.84,3450858.59,INVEST,INVEST,100.0,False
5053,Narayanan Layout,UNCALIBRATED,2000,0.1,0.1685,0.0235,6127836.39,0.0,0.0,1.0,2348053.43,1821434.24,INVEST,INVEST,100.0,False
7622,Devi Extension,UNCALIBRATED,2000,0.1,0.1239,0.0232,1921379.82,0.1685,0.0,0.832,-1100236.34,-1534206.07,INVEST,INVEST,83.2,False
5923,Varkey Colony,UNCALIBRATED,2000,0.1,0.0203,0.0231,-4365699.69,1.0,0.203,0.0,-6137962.97,-6399326.22,HOLD,HOLD,79.7,False
5342,Amble Hills,UNCALIBRATED,2000,0.1,0.1661,0.0232,3623800.85,0.0,0.0,1.0,1342736.58,1023425.07,INVEST,INVEST,100.0,False
3559,Padmanabhan Enclave,UNCALIBRATED,2000,0.1,0.115,0.0234,1143362.22,0.2735,0.0,0.7275,-1614674.68,-2015846.02,INVEST,INVEST,72.7,False
1256,Mann Enclave,UNCALIBRATED,2000,0.1,-0.0135,0.0228,-2796007.43,1.0,0.723,0.0,-3518435.36,-3626508.49,AVOID,AVOID,72.3,False
5691,Bahl Colony,UNCALIBRATED,2000,0.1,0.1489,0.0231,3016082.31,0.012,0.0,0.988,555418.06,204767.64,INVEST,INVEST,98.8,False
5354,Chatterjee Colony,UNCALIBRATED,2000,0.1,0.0239,0.0232,-3015703.08,1.0,0.166,0.0,-4303628.77,-4493663.15,HOLD,HOLD,83.4,False
7672,Handa Layout,UNCALIBRATED,2000,0.1,0.1204,0.0231,2076488.16,0.198,0.0,0.8025,-1673170.52,-2219277.38,INVEST,INVEST,80.2,False
195,Mann Enclave,UNCALIBRATED,2000,0.1,-0.019,0.0231,-5932701.86,1.0,0.785,0.0,-7395160.91,-7616850.61,AVOID,AVOID,78.5,False
6007,Rattan Colony,UNCALIBRATED,2000,0.1,0.1464,0.0232,5229531.36,0.018,0.0,0.982,745845.68,106393.31,INVEST,INVEST,98.2,False
5842,Mallick Enclave,UNCALIBRATED,2000,0.1,0.1163,0.0229,829323.86,0.245,0.0,0.7565,-986746.08,-1255464.91,INVEST,INVEST,75.5,False
26,Bhatti Enclave,UNCALIBRATED,2000,0.1,0.1695,0.0231,7055748.74,0.0,0.0,1.0,2844357.21,2230307.92,INVEST,INVEST,100.0,False
5648,Devi Extension,UNCALIBRATED,2000,0.1,0.126,0.0231,1844234.73,0.1425,0.0,0.858,-810920.04,-1205272.97,INVEST,INVEST,85.8,False
1647,Gade Extension,UNCALIBRATED,2000,0.1,0.1851,0.0235,11106376.45,0.0,0.0,1.0,5433606.64,4632644.38,INVEST,INVEST,100.0,False
7944,Chand Hills,UNCALIBRATED,2000,0.1,0.1487,0.0231,2704189.7,0.013,0.0,0.987,485103.3,174632.74,INVEST,INVEST,98.7,False
5177,Bir Nagar,UNCALIBRATED,2000,0.1,0.1063,0.0229,310539.37,0.3985,0.0,0.602,-1280416.29,-1516913.06,INVEST,INVEST,60.1,False
4043,Chand Hills,UNCALIBRATED,2000,0.1,0.148,0.0232,4121352.45,0.014,0.0,0.986,690931.66,204677.59,INVEST,INVEST,98.6,False
6644,Murty Extension,UNCALIBRATED,2000,0.1,0.0033,0.0229,-3200141.75,1.0,0.446,0.0,-4210055.37,-4367764.07,HOLD,HOLD,55.4,False
1084,Mann Enclave,UNCALIBRATED,2000,0.1,-0.0022,0.0222,-5552868.94,1.0,0.539,0.0,-7142438.5,-7387087.27,AVOID,AVOID,53.9,False
6687,Choudhary Gardens,UNCALIBRATED,2000,0.1,0.1412,0.0231,3640230.57,0.04,0.0,0.96,189468.72,-308511.93,INVEST,INVEST,96.0,False
7269,Muni Hills,UNCALIBRATED,2000,0.1,0.0506,0.0227,-2780863.39,0.9945,0.005,0.0055,-4689932.62,-4968403.61,HOLD,HOLD,99.0,False
5565,Dutta Nagar,UNCALIBRATED,2000,0.1,-0.0011,0.0228,-5302428.83,1.0,0.519,0.0,-6891849.27,-7127533.21,AVOID,AVOID,51.9,False
1239,Amble Hills,UNCALIBRATED,2000,0.1,0.1651,0.0233,6615314.39,0.0,0.0,1.0,2392238.16,1802490.13,INVEST,INVEST,100.0,False
