property_id,metric,p5,p10,p25,p50,p75,p90,p95
2731,irr,0.1387,0.1477,0.1623,0.1788,0.1948,0.211,0.2191
2731,npv,4130306.84,5207087.35,6962867.97,9112257.75,11290179.95,13638161.48,14915758.09
5053,irr,0.1289,0.1375,0.152,0.1688,0.1843,0.2006,0.2086
5053,npv,2348053.43,3128827.0,4433296.87,6017296.89,7635404.21,9363961.48,10337714.12
7622,irr,0.0848,0.0932,0.1075,0.1239,0.14,0.1551,0.1636
7622,npv,-1100236.34,-494213.58,571635.95,1843749.68,3157450.99,4531031.64,5300517.54
5923,irr,-0.0182,-0.0107,0.0043,0.0204,0.0363,0.0516,0.0602
5923,npv,-6137962.97,-5804294.31,-5142978.29,-4402084.11,-3617157.38,-2840756.88,-2399902.32
5342,irr,0.1269,0.1354,0.1499,0.1662,0.1817,0.1978,0.2055
5342,npv,1342736.58,1807057.06,2607349.65,3560444.27,4537992.28,5584807.04,6164216.64
3559,irr,0.0755,0.0843,0.0987,0.1151,0.1307,0.1469,0.1549
3559,npv,-1614674.68,-1063826.3,-88722.39,1072753.89,2264398.66,3550694.23,4230675.21
1256,irr,-0.0518,-0.0435,-0.0294,-0.0134,0.0018,0.0175,0.0254
1256,npv,-3518435.36,-3372826.33,-3126711.7,-2815890.46,-2491510.65,-2177337.51,-1993924.45
5691,irr,0.11,0.1184,0.1328,0.1491,0.1644,0.1805,0.1882
5691,npv,555418.06,1049293.21,1919781.51,2950512.68,4009256.09,5142849.9,5759202.48
5354,irr,-0.0152,-0.0067,0.0077,0.0241,0.0395,0.0555,0.0633
5354,npv,-4303628.77,-4042775.42,-3600532.33,-3059017.92,-2487321.97,-1903428.64,-1577420.37
7672,irr,0.0814,0.0899,0.1042,0.1205,0.1359,0.1519,0.1598
7672,npv,-1673170.52,-925373.74,397559.11,1980296.39,3602430.1,5350492.93,6274413.11
195,irr,-0.0578,-0.0495,-0.0352,-0.0188,-0.0034,0.0124,0.0204
195,npv,-7395160.91,-7099792.25,-6595626.02,-5973938.46,-5319521.27,-4673986.16,-4305409.33
6007,irr,0.1073,0.1158,0.1302,0.1465,0.1619,0.178,0.1857
6007,npv,745845.68,1645827.49,3234431.49,5110964.62,7039842.61,9106611.85,10226727.67
5842,irr,0.0779,0.0862,0.1003,0.1164,0.1317,0.1475,0.1552
5842,npv,-986746.08,-631980.5,15027.59,787714.19,1567198.41,2416496.55,2876318.2
26,irr,0.1305,0.139,0.1533,0.1696,0.1851,0.201,0.209
26,npv,2844357.21,3684576.06,5171076.59,6936389.83,8753849.55,10696887.35,11782771.83
5648,irr,0.0871,0.0955,0.1098,0.126,0.1414,0.1574,0.1652
5648,npv,-810920.04,-280316.2,655254.8,1776013.12,2930522.04,4169351.44,4829988.34
1647,irr,0.1456,0.1541,0.1687,0.1853,0.201,0.2169,0.2251
1647,npv,5433606.64,6578840.81,8578712.78,10958702.29,13378882.19,15963203.42,17428453.6
7944,irr,0.1097,0.1183,0.1325,0.1488,0.1643,0.1803,0.1882
7944,npv,485103.3,942502.12,1719788.13,2647285.21,3599147.91,4619041.8,5173243.28
5177,irr,0.0678,0.076,0.0902,0.1064,0.1219,0.1374,0.1455
5177,npv,-1280416.29,-967727.7,-408027.9,273406.62,957175.21,1696124.65,2099932.93
4043,irr,0.109,0.1174,0.1317,0.1481,0.1636,0.1795,0.1874
4043,npv,690931.66,1374802.4,2592285.37,4030834.1,5506519.91,7082595.27,7948790.26
6644,irr,-0.0352,-0.0269,-0.0127,0.0033,0.0189,0.0344,0.0425
6644,npv,-4210055.37,-4013603.85,-3657578.14,-3226549.44,-2779497.09,-2325214.03,-2069507.8
1084,irr,-0.0395,-0.0316,-0.0179,-0.0023,0.0128,0.0279,0.0359
1084,npv,-7142438.5,-6824801.83,-6270513.46,-5598869.65,-4885158.85,-4180190.31,-3776545.43
6687,irr,0.1023,0.1109,0.1251,0.1414,0.1568,0.1727,0.1804
6687,npv,189468.72,868543.76,2101461.85,3556100.91,5038112.05,6643362.39,7502082.34
7269,irr,0.0125,0.0206,0.0347,0.0507,0.066,0.0815,0.0895
7269,npv,-4689932.62,-4301839.33,-3653568.15,-2834199.96,-2004550.69,-1140534.0,-648664.94
5565,irr,-0.0395,-0.0313,-0.0171,-0.0009,0.0143,0.03,0.0379
5565,npv,-6891849.27,-6578863.81,-6029471.56,-5343896.51,-4638673.35,-3931579.61,-3545672.55
1239,irr,0.1259,0.1344,0.1489,0.1653,0.1808,0.1968,0.2047
1239,npv,2392238.16,3248741.42,4735549.96,6501938.22,8305595.86,10245568.17,11319715.7
