property_id,driver,correlation_with_irr
2731,appreciation,1.0
2731,vacancy_rate,-0.019
2731,opex,-0.015
2731,purchase_price,-0.003
5053,appreciation,0.999
5053,vacancy_rate,-0.049
5053,opex,-0.026
5053,purchase_price,-0.007
7622,appreciation,0.998
7622,vacancy_rate,-0.084
7622,opex,-0.041
7622,purchase_price,-0.013
5923,appreciation,0.994
5923,vacancy_rate,-0.127
5923,opex,-0.059
5923,purchase_price,-0.013
5342,appreciation,1.0
5342,vacancy_rate,-0.033
5342,opex,-0.021
5342,purchase_price,-0.011
3559,appreciation,1.0
3559,vacancy_rate,-0.024
3559,opex,-0.018
3559,purchase_price,-0.007
1256,appreciation,1.0
1256,opex,-0.018
1256,purchase_price,-0.013
5691,appreciation,1.0
5691,vacancy_rate,-0.034
5691,opex,-0.022
5691,purchase_price,-0.013
5354,appreciation,1.0
5354,vacancy_rate,-0.041
5354,opex,-0.026
5354,purchase_price,-0.009
7672,appreciation,1.0
7672,vacancy_rate,-0.025
7672,opex,-0.018
7672,purchase_price,-0.012
195,appreciation,0.999
195,vacancy_rate,-0.052
195,opex,-0.03
195,purchase_price,-0.009
6007,appreciation,1.0
6007,vacancy_rate,-0.033
6007,opex,-0.021
6007,purchase_price,-0.012
5842,appreciation,1.0
5842,vacancy_rate,-0.03
5842,opex,-0.021
5842,purchase_price,-0.017
26,appreciation,1.0
26,vacancy_rate,-0.021
26,opex,-0.016
26,purchase_price,-0.013
5648,appreciation,1.0
5648,vacancy_rate,-0.028
5648,opex,-0.02
5648,purchase_price,-0.013
1647,appreciation,0.999
1647,vacancy_rate,-0.057
1647,opex,-0.03
1647,purchase_price,-0.008
7944,appreciation,1.0
7944,vacancy_rate,-0.024
7944,opex,-0.018
7944,purchase_price,-0.013
5177,appreciation,0.999
5177,vacancy_rate,-0.061
5177,opex,-0.033
5177,purchase_price,-0.016
4043,appreciation,0.999
4043,vacancy_rate,-0.044
4043,opex,-0.025
4043,purchase_price,-0.012
6644,appreciation,0.999
6644,vacancy_rate,-0.063
6644,opex,-0.034
6644,purchase_price,-0.012
1084,appreciation,0.999
1084,vacancy_rate,-0.056
1084,opex,-0.032
1084,purchase_price,-0.022
6687,appreciation,1.0
6687,vacancy_rate,-0.038
6687,opex,-0.023
6687,purchase_price,-0.014
7269,appreciation,0.999
7269,vacancy_rate,-0.06
7269,opex,-0.033
7269,purchase_price,-0.017
5565,appreciation,0.999
5565,vacancy_rate,-0.045
5565,opex,-0.028
5565,purchase_price,-0.013
1239,appreciation,1.0
1239,vacancy_rate,-0.031
1239,opex,-0.02
1239,purchase_price,-0.011
