property_id,scenario,validation_status,irr,npv,roi_total_holding_period
2731,Severe Downside,PASS,0.0817,-1787542.19,0.4669
2731,Downside,PASS,0.13,3207691.07,0.8186
2731,Base,PASS,0.1785,9157772.97,1.2377
2731,Upside,PASS,0.2076,13237348.46,1.525
5053,Severe Downside,PASS,0.0692,-2287137.32,0.3842
5053,Downside,PASS,0.119,1546243.36,0.7275
5053,Base,PASS,0.1688,6096255.56,1.1356
5053,Upside,PASS,0.1984,9195439.19,1.414
7622,Severe Downside,PASS,0.0225,-5061883.45,0.1127
7622,Downside,PASS,0.0738,-1869854.83,0.4066
7622,Base,PASS,0.1247,1919739.04,0.7565
7622,Upside,PASS,0.1548,4487760.41,0.9945
5923,Severe Downside,PASS,-0.085,-8680881.6,-0.3477
5923,Downside,PASS,-0.031,-6707435.65,-0.1399
5923,Base,PASS,0.0219,-4356236.77,0.1089
5923,Upside,PASS,0.0528,-2772225.77,0.2776
5342,Severe Downside,PASS,0.0696,-1389108.29,0.3786
5342,Downside,PASS,0.1177,880234.41,0.705
5342,Base,PASS,0.166,3585862.0,1.0945
5342,Upside,PASS,0.1949,5438571.1,1.3615
3559,Severe Downside,PASS,0.0189,-4891348.52,0.094
3559,Downside,PASS,0.0667,-2189925.65,0.3658
3559,Base,PASS,0.1148,1061369.64,0.6932
3559,Upside,PASS,0.1436,3305785.36,0.9192
1256,Severe Downside,PASS,-0.1063,-4356363.51,-0.4074
1256,Downside,PASS,-0.0604,-3681515.55,-0.254
1256,Base,PASS,-0.0139,-2846178.7,-0.0641
1256,Upside,PASS,0.0142,-2257469.46,0.0697
5691,Severe Downside,PASS,0.0528,-2410499.37,0.2767
5691,Downside,PASS,0.1007,38993.62,0.5806
5691,Base,PASS,0.1488,2967607.59,0.9443
5691,Upside,PASS,0.1776,4976685.07,1.194
5354,Severe Downside,PASS,-0.0732,-5884398.66,-0.3044
5354,Downside,PASS,-0.0247,-4615573.42,-0.1129
5354,Base,PASS,0.024,-3070449.81,0.1207
5354,Upside,PASS,0.053,-1998223.64,0.2831
7672,Severe Downside,PASS,0.0253,-6135968.26,0.1258
7672,Downside,PASS,0.0726,-2459397.14,0.3967
7672,Base,PASS,0.1201,1965556.72,0.7228
7672,Upside,PASS,0.1487,5019789.71,0.9481
195,Severe Downside,PASS,-0.1166,-9231252.31,-0.4456
195,Downside,PASS,-0.0677,-7780420.78,-0.2844
195,Base,PASS,-0.0187,-6004775.25,-0.0867
195,Upside,PASS,0.0104,-4770782.45,0.0511
6007,Severe Downside,PASS,0.0501,-4651187.27,0.2622
6007,Downside,PASS,0.0981,-193205.4,0.5647
6007,Base,PASS,0.1463,5138592.77,0.9267
6007,Upside,PASS,0.1751,8797652.65,1.1755
5842,Severe Downside,PASS,0.0219,-3175159.53,0.1066
5842,Downside,PASS,0.0688,-1382634.0,0.3688
5842,Base,PASS,0.1161,775910.07,0.6847
5842,Upside,PASS,0.1445,2265262.28,0.9028
26,Severe Downside,PASS,0.0747,-2135430.73,0.4073
26,Downside,PASS,0.1218,2008829.47,0.7305
26,Base,PASS,0.1691,6962290.08,1.1168
26,Upside,PASS,0.1977,10366526.06,1.3824
5648,Severe Downside,PASS,0.0308,-4007346.66,0.154
5648,Downside,PASS,0.0781,-1382247.49,0.4304
5648,Base,PASS,0.1257,1772327.65,0.7627
5648,Upside,PASS,0.1544,3946129.41,0.9919
1647,Severe Downside,PASS,0.0851,-1621834.56,0.4861
1647,Downside,PASS,0.1353,4202622.58,0.8512
1647,Base,PASS,0.1854,11091217.43,1.2835
1647,Upside,PASS,0.2152,15766471.09,1.5776
7944,Severe Downside,PASS,0.0536,-2131073.92,0.2811
7944,Downside,PASS,0.1009,44226.37,0.582
7944,Base,PASS,0.1484,2650590.32,0.9427
7944,Upside,PASS,0.1771,4443957.82,1.1911
5177,Severe Downside,PASS,0.0084,-3309920.64,0.0404
5177,Downside,PASS,0.0575,-1673405.2,0.3035
5177,Base,PASS,0.1066,285504.88,0.6191
5177,Upside,PASS,0.1359,1624965.83,0.8355
4043,Severe Downside,PASS,0.0507,-3508774.01,0.2656
4043,Downside,PASS,0.0993,-53347.13,0.5731
4043,Base,PASS,0.1481,4069207.77,0.9403
4043,Upside,PASS,0.1772,6889112.11,1.1919
6644,Severe Downside,PASS,-0.0948,-5518331.15,-0.3756
6644,Downside,PASS,-0.0455,-4489115.59,-0.1983
6644,Base,PASS,0.0037,-3237938.92,0.0177
6644,Upside,PASS,0.033,-2374040.16,0.1674
1084,Severe Downside,PASS,-0.0963,-9159138.23,-0.3701
1084,Downside,PASS,-0.0494,-7570476.76,-0.2082
1084,Base,PASS,-0.0021,-5628181.29,-0.0097
1084,Upside,PASS,0.0262,-4280148.63,0.1285
6687,Severe Downside,PASS,0.0451,-4005928.76,0.2321
6687,Downside,PASS,0.093,-555900.31,0.5273
6687,Base,PASS,0.1412,3571692.47,0.8807
6687,Upside,PASS,0.17,6403258.92,1.1235
7269,Severe Downside,PASS,-0.0462,-7117311.38,-0.1982
7269,Downside,PASS,0.0023,-5177866.54,0.011
7269,Base,PASS,0.0509,-2834710.7,0.2643
7269,Upside,PASS,0.0799,-1222569.42,0.4391
5565,Severe Downside,PASS,-0.0969,-8851564.29,-0.3806
5565,Downside,PASS,-0.0491,-7290628.36,-0.2117
5565,Base,PASS,-0.001,-5380778.85,-0.0047
5565,Upside,PASS,0.0278,-4052049.71,0.1396
1239,Severe Downside,PASS,0.0688,-2638789.12,0.3743
1239,Downside,PASS,0.1168,1546823.16,0.6998
1239,Base,PASS,0.165,6539968.68,1.0883
1239,Upside,PASS,0.1939,9961813.19,1.3548
