locality_id,total_items,n_planned,n_completed,social_score,transit_score,commercial_score
1,1,0,1,,10.6,
2,2,0,2,3.6,,
3,3,0,3,10.7,,5.8
4,4,1,3,13.5,7.9,2.0
5,2,2,0,,9.5,3.9
6,1,1,0,,37.9,
7,1,1,0,,,5.0
8,1,0,1,9.4,,
9,1,1,0,3.6,,
10,2,0,2,9.8,6.0,
11,2,2,0,,23.2,
12,2,2,0,,7.0,6.8
13,3,2,1,7.2,15.0,
14,4,2,2,7.7,17.7,
15,2,2,0,,8.6,
16,1,0,1,8.8,,
17,2,1,1,5.8,,4.7
18,2,2,0,,8.0,
19,1,0,1,3.3,,
20,3,0,3,,8.4,7.7
21,2,1,1,12.6,,19.0
22,3,2,1,6.7,10.6,7.8
23,1,0,1,2.3,,
24,4,3,1,,9.3,5.5
25,3,1,2,,8.9,
26,3,2,1,,10.6,3.6
27,1,1,0,,,2.9
28,2,2,0,,18.7,6.3
29,3,3,0,4.8,,6.8
30,1,1,0,,7.7,
31,4,4,0,3.0,14.4,17.1
32,4,1,3,25.6,19.5,9.3
33,2,0,2,,5.4,
34,1,1,0,,6.1,
35,4,2,2,5.2,2.7,
36,2,1,1,,2.0,5.5
37,3,3,0,,22.8,5.9
38,1,1,0,,,6.6
39,4,4,0,9.3,6.1,
40,3,2,1,7.3,3.7,2.5
41,3,1,2,,8.1,9.6
42,2,1,1,8.1,4.8,
43,1,0,1,,8.8,
44,1,1,0,,23.1,
45,3,1,2,,6.5,11.6
46,1,1,0,,15.3,
47,1,1,0,,4.3,
48,2,1,1,19.6,,
49,2,0,2,,5.0,6.0
50,1,1,0,8.0,,
51,1,0,1,,,11.1
52,3,3,0,4.6,3.7,
53,3,1,2,5.3,11.5,
54,3,2,1,4.7,4.8,2.4
55,2,2,0,,13.9,
56,3,1,2,5.0,3.8,
57,1,0,1,,,14.4
58,3,2,1,,5.8,4.7
59,3,2,1,3.3,5.1,
60,1,0,1,,,9.1
61,4,4,0,4.1,9.6,
62,4,4,0,12.6,3.4,4.5
63,1,1,0,,,4.6
64,4,0,4,5.3,3.3,6.1
65,2,2,0,,7.1,26.9
66,4,1,3,,11.2,
67,3,2,1,5.7,5.5,
68,4,2,2,3.8,29.7,23.9
69,2,0,2,,19.7,4.7
70,1,0,1,6.8,,
71,2,2,0,39.1,1.4,
72,2,1,1,,6.6,17.8
73,3,3,0,,24.6,5.9
74,3,1,2,,,14.0
75,3,3,0,6.0,4.1,
76,1,0,1,6.2,,
77,2,2,0,,47.4,5.3
78,3,2,1,,10.0,
79,2,2,0,,3.9,9.3
80,3,1,2,3.2,,6.5
81,4,3,1,6.1,5.1,
82,1,0,1,,29.9,
83,1,1,0,,,8.0
84,4,3,1,19.0,13.9,6.5
85,2,1,1,,7.5,5.5
86,1,1,0,,7.4,
87,1,0,1,4.3,,
88,4,3,1,2.7,8.5,5.5
89,4,1,3,3.8,4.9,
90,3,1,2,,9.0,6.9
