locality_id,flood_risk_status,environmental_risk_status,infrastructure_delivery_risk_score,infrastructure_concentration_risk_score
1,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
2,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,0.2
3,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,0.9
4,INSUFFICIENT DATA,INSUFFICIENT DATA,12.7,3.3
5,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,7.1
6,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
7,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
8,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
9,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
10,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,3.6
11,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.8
12,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,1.5
13,INSUFFICIENT DATA,INSUFFICIENT DATA,66.8,0.5
14,INSUFFICIENT DATA,INSUFFICIENT DATA,56.1,3.8
15,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,10.6
16,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
17,INSUFFICIENT DATA,INSUFFICIENT DATA,51.9,0.1
18,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,9.7
19,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
20,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,4.8
21,INSUFFICIENT DATA,INSUFFICIENT DATA,47.0,0.4
22,INSUFFICIENT DATA,INSUFFICIENT DATA,71.2,2.9
23,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
24,INSUFFICIENT DATA,INSUFFICIENT DATA,71.6,1.4
25,INSUFFICIENT DATA,INSUFFICIENT DATA,44.4,3.4
26,INSUFFICIENT DATA,INSUFFICIENT DATA,60.5,1.2
27,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
28,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.6
29,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,4.0
30,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
31,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,2.9
32,INSUFFICIENT DATA,INSUFFICIENT DATA,27.9,0.5
33,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,4.3
34,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
35,INSUFFICIENT DATA,INSUFFICIENT DATA,34.4,4.3
36,INSUFFICIENT DATA,INSUFFICIENT DATA,65.7,9.8
37,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,1.7
38,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
39,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,4.1
40,INSUFFICIENT DATA,INSUFFICIENT DATA,67.8,15.6
41,INSUFFICIENT DATA,INSUFFICIENT DATA,34.5,0.0
42,INSUFFICIENT DATA,INSUFFICIENT DATA,55.0,1.0
43,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
44,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
45,INSUFFICIENT DATA,INSUFFICIENT DATA,20.5,6.6
46,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
47,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
48,INSUFFICIENT DATA,INSUFFICIENT DATA,63.5,7.3
49,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,4.9
50,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
51,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
52,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.6
53,INSUFFICIENT DATA,INSUFFICIENT DATA,32.7,0.9
54,INSUFFICIENT DATA,INSUFFICIENT DATA,55.5,3.9
55,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.3
56,INSUFFICIENT DATA,INSUFFICIENT DATA,42.2,2.0
57,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
58,INSUFFICIENT DATA,INSUFFICIENT DATA,68.8,0.1
59,INSUFFICIENT DATA,INSUFFICIENT DATA,66.3,3.6
60,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
61,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,2.8
62,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,0.7
