property_id,component,score
1,market_score,24.9
1,prediction_score,43.075
1,geo_score,45.9
2731,market_score,31.1
2731,prediction_score,65.1
2731,financial_score,89.25
2731,risk_score,100.0
2731,geo_score,54.7
5053,market_score,50.7
5053,prediction_score,25.575000000000003
5053,financial_score,84.4
5053,risk_score,100.0
5053,geo_score,65.1
7622,market_score,13.8
7622,prediction_score,73.95
7622,financial_score,62.35
7622,risk_score,82.1
7622,geo_score,51.0
5923,market_score,12.3
5923,prediction_score,6.200000000000003
5923,financial_score,10.949999999999996
5923,risk_score,31.4
5923,geo_score,48.7
5342,market_score,28.5
5342,prediction_score,67.45
5342,financial_score,83.0
5342,risk_score,100.0
5342,geo_score,52.4
3559,market_score,42.3
3559,prediction_score,52.075
3559,financial_score,57.4
3559,risk_score,72.3
3559,geo_score,62.5
1256,market_score,3.1
1256,prediction_score,47.275
1256,financial_score,0.0
1256,risk_score,29.4
1256,geo_score,51.5
5691,market_score,12.3
5691,prediction_score,50.4
5691,financial_score,74.39999999999999
5691,risk_score,98.9
5691,geo_score,38.8
5354,market_score,1.2
5354,prediction_score,93.65
5354,financial_score,11.999999999999993
5354,risk_score,33.0
5354,geo_score,42.7
7672,market_score,20.1
7672,prediction_score,34.65
7672,financial_score,60.05
7672,risk_score,78.4
7672,geo_score,50.1
195,market_score,3.1
195,prediction_score,59.6
195,financial_score,0.0
195,risk_score,31.5
195,geo_score,51.5
6007,market_score,12.0
6007,prediction_score,55.425
6007,financial_score,73.15
6007,risk_score,98.3
6007,geo_score,50.2
5842,market_score,16.4
5842,prediction_score,100.0
5842,financial_score,58.05
5842,risk_score,74.2
5842,geo_score,58.0
26,market_score,29.0
26,prediction_score,68.5
26,financial_score,84.55
26,risk_score,100.0
26,geo_score,52.0
5648,market_score,13.8
5648,prediction_score,12.5
5648,financial_score,62.85
5648,risk_score,84.3
5648,geo_score,51.0
1647,market_score,31.1
1647,prediction_score,15.25
1647,financial_score,92.7
1647,risk_score,100.0
1647,geo_score,54.7
7944,market_score,48.4
7944,prediction_score,67.825
7944,financial_score,74.2
7944,risk_score,98.9
7944,geo_score,54.1
5177,market_score,18.1
5177,prediction_score,64.125
5177,financial_score,53.3
5177,risk_score,58.8
5177,geo_score,46.6
4043,market_score,48.4
4043,prediction_score,58.75
4043,financial_score,74.05
4043,risk_score,98.9
4043,geo_score,54.1
6644,market_score,21.7
6644,prediction_score,95.35
6644,financial_score,1.8499999999999943
6644,risk_score,21.7
6644,geo_score,50.1
1084,market_score,3.1
1084,prediction_score,42.4
1084,financial_score,0.0
1084,risk_score,22.5
1084,geo_score,51.5
6687,market_score,8.5
6687,prediction_score,57.4
6687,financial_score,70.6
6687,risk_score,96.3
6687,geo_score,56.7
7269,market_score,10.4
7269,prediction_score,75.675
7269,financial_score,25.45
7269,risk_score,39.9
7269,geo_score,46.9
5565,market_score,0.6
5565,prediction_score,74.65
5565,financial_score,0.0
5565,risk_score,21.5
5565,geo_score,47.5
1239,market_score,28.5
1239,prediction_score,38.925
1239,financial_score,82.5
1239,risk_score,100.0
1239,geo_score,52.4
