developer_id,developer_name,rating,delivery_score,quality_score,track_record,market_share
1,Ray Builders,4.5,94.9,84.3,25,3.09
2,Gupta Builders,3.6,76.4,69.0,21,2.96
3,Chandra Infra,3.6,73.5,71.4,6,2.11
4,Chatterjee Builders,1.7,32.9,35.7,4,1.9
5,Sankar Infra,3.1,60.6,62.1,13,2.59
6,Pandya Realty,4.1,81.1,81.9,25,1.36
7,Sampath Constructions,4.9,99.0,97.9,19,2.88
8,Roy Constructions,3.3,79.6,52.2,26,4.11
9,Sibal Builders,4.0,74.9,83.8,2,2.46
10,Bhagat Builders,4.9,99.0,95.6,22,2.43
11,Chaudhari Constructions,3.7,77.9,69.0,7,1.97
12,Bhat Constructions,3.6,76.9,66.2,28,2.5
13,Rau Developers,3.1,59.1,64.6,17,3.52
14,Nori Group,1.5,22.2,39.8,22,1.62
15,Chopra Realty,3.2,63.5,64.9,9,2.81
16,Kothari Builders,2.3,42.3,49.9,2,2.56
17,Handa Constructions,2.8,52.5,61.3,4,2.61
18,Gupta Group,2.9,54.3,62.5,26,2.14
19,Yadav Developers,3.9,79.5,77.5,29,2.21
20,Sen Group,3.0,56.2,62.8,25,1.83
21,Dey Realty,4.1,93.9,69.3,7,2.17
22,Sami Group,2.9,57.7,58.8,28,1.63
23,Goswami Builders,3.9,84.7,72.7,7,1.7
24,Mallick Group,2.7,47.7,59.4,22,1.63
25,Shere Builders,4.8,91.9,98.5,22,2.51
26,Krish Builders,4.7,99.0,88.2,3,2.04
27,Borra Constructions,2.0,35.4,42.6,14,2.95
28,Savant Constructions,3.9,84.0,73.2,16,2.49
29,Chaudhari Constructions,2.3,42.0,50.5,1,3.26
30,Bedi Developers,3.7,82.4,64.5,3,2.49
31,Zachariah Constructions,3.5,76.0,65.6,27,2.48
32,Aurora Infra,4.0,73.5,84.9,17,2.65
33,Chander Developers,3.8,84.7,67.4,26,1.79
34,Khalsa Realty,4.0,82.4,77.3,21,2.19
35,Ganesan Infra,3.3,63.5,69.8,6,2.76
36,Ray Realty,2.8,51.1,59.4,22,2.58
37,Sunder Realty,3.7,75.3,71.3,15,3.01
38,Srivastava Builders,3.5,62.4,77.3,29,4.62
39,Kala Infra,2.8,51.9,60.8,1,2.14
40,Rattan Realty,3.1,62.6,60.4,23,3.26
