infrastructure_id,locality_id,type,latitude,longitude,distance_from_center,expected_completion,impact_score
1,1,Highway,18.550143,81.728643,5.94,2024-09-02,73.8
2,2,Hospital,10.548106,80.126457,14.56,2026-02-20,52.0
3,2,Hospital,10.484053,80.129582,13.91,2025-09-08,56.6
4,3,School,11.747059,87.495184,3.64,2025-04-26,65.7
5,3,Business District,11.78497,87.541318,8.97,2025-11-28,57.8
6,3,School,11.773082,87.49553,9.88,2026-04-10,79.5
7,4,Airport,24.962058,78.006271,5.73,2024-09-02,53.5
8,4,Business District,24.992729,78.01063,12.3,2028-05-14,26.8
9,4,School,24.966215,77.992996,1.6,2025-07-05,57.5
10,4,Hospital,25.000461,78.021501,14.02,2026-07-14,73.0
11,5,Highway,9.472437,78.008856,5.96,2028-02-24,65.9
12,5,Business District,9.507214,78.089135,8.75,2027-02-18,38.1
13,6,Airport,22.910609,82.345526,0.7,2028-10-18,64.4
14,7,Business District,18.147801,80.643676,8.98,2028-08-30,50.3
15,8,Hospital,16.438558,84.198828,4.0,2024-12-28,46.9
16,9,Hospital,11.795409,86.372486,11.48,2028-12-09,44.4
17,10,School,8.119386,80.368801,7.72,2024-11-04,85.5
18,10,Airport,8.177737,80.421774,8.63,2024-09-22,58.2
19,11,Highway,22.402237,78.099661,0.92,2029-03-28,72.9
20,11,Airport,22.442393,78.176574,9.45,2028-12-10,87.4
21,12,Mall,10.981154,80.100182,8.54,2027-07-06,65.0
22,12,Metro,10.971744,80.114883,6.25,2027-07-02,50.9
23,13,Airport,20.998506,82.364663,2.63,2028-03-06,59.7
24,13,School,20.918894,82.274297,9.5,2026-09-20,75.9
25,13,Airport,20.945145,82.333051,3.98,2025-03-17,67.3
26,14,School,21.210609,75.242359,7.37,2024-09-26,41.2
27,14,Hospital,21.273353,75.212874,3.75,2026-04-04,49.9
28,14,Airport,21.193743,75.16155,2.25,2028-08-21,80.9
29,14,Metro,21.211641,75.242102,2.37,2027-09-21,35.6
30,15,Metro,21.527788,85.185722,7.92,2028-10-16,36.8
31,15,Highway,21.57176,85.123052,4.51,2029-03-25,72.3
32,16,School,22.853026,86.392256,7.53,2025-01-26,75.2
33,17,School,22.170743,82.601653,11.34,2028-11-08,71.5
34,17,Mall,22.208814,82.558447,13.07,2025-11-06,66.2
35,18,Highway,21.47078,81.26927,11.19,2027-07-30,65.2
36,18,Metro,21.452209,81.291533,2.24,2027-04-02,34.2
37,19,Hospital,18.313419,81.45992,11.94,2026-08-11,42.5
38,20,Mall,8.325545,86.913482,6.76,2026-03-08,59.9
39,20,Highway,8.304738,86.872683,13.54,2026-04-30,31.7
40,20,Highway,8.365513,86.899515,3.94,2026-04-19,71.9
41,21,Hospital,19.379712,86.984995,2.83,2025-06-22,48.2
42,21,Business District,19.369991,87.04463,1.25,2027-03-09,42.7
43,22,Hospital,22.337061,83.349707,6.27,2025-03-15,48.5
44,22,Mall,22.305687,83.431441,8.57,2027-03-08,75.1
45,22,Airport,22.266821,83.415452,3.21,2029-02-28,44.7
46,23,School,18.255325,84.835059,9.35,2026-05-18,23.9
47,24,Mall,19.862867,73.022541,7.48,2028-04-08,47.0
48,24,Airport,19.85017,73.061965,8.46,2028-09-22,60.9
49,24,Airport,19.836978,73.088092,4.19,2028-09-15,82.1
50,24,Highway,19.85206,73.067715,12.02,2025-10-24,75.4
51,25,Metro,18.74106,84.459497,6.42,2025-05-13,49.8
52,25,Metro,18.730099,84.442347,12.71,2025-08-14,35.2
53,25,Highway,18.735514,84.405063,2.87,2027-08-23,67.9
54,26,Mall,22.887179,87.61159,13.22,2028-06-07,51.6
55,26,Metro,22.90317,87.620902,10.85,2027-11-28,65.0
56,26,Metro,22.909633,87.625979,3.87,2025-07-08,76.1
57,27,Business District,11.540923,74.929129,13.64,2028-06-30,42.3
58,28,Highway,16.614572,76.323321,2.52,2027-02-07,65.7
59,28,Business District,16.639664,76.339372,11.25,2028-05-27,76.6
60,29,Business District,16.858272,78.647277,10.85,2028-06-06,80.2
61,29,Hospital,16.931636,78.661031,12.41,2026-11-16,54.6
62,29,Hospital,16.897945,78.675459,6.43,2029-04-02,40.4
63,30,Airport,21.454439,75.035328,8.7,2027-06-15,74.4
64,31,Highway,21.233315,79.587172,3.8,2027-10-23,91.4
65,31,Business District,21.183609,79.647648,2.72,2027-10-03,63.6
66,31,Metro,21.16301,79.62553,9.1,2028-12-14,99.0
67,31,School,21.193921,79.622585,13.88,2027-10-08,44.2
68,32,Business District,25.330616,72.853128,11.18,2025-05-21,69.4
69,32,Metro,25.362501,72.855799,2.14,2024-12-21,61.1
70,32,Business District,25.309844,72.816191,5.36,2026-11-04,81.9
71,32,School,25.348723,72.871087,2.16,2026-02-22,81.0
72,33,Airport,24.467929,76.86962,13.82,2026-01-02,55.1
73,33,Highway,24.424644,76.912811,4.1,2024-11-29,36.1
74,34,Metro,14.972712,86.934798,9.67,2027-03-03,65.5
75,35,Airport,24.958732,77.428573,14.44,2026-03-08,54.6
76,35,School,24.945885,77.429215,4.84,2026-11-22,37.9
77,35,Hospital,24.93211,77.453448,12.1,2024-11-30,51.0
78,35,Metro,24.896033,77.457976,8.69,2028-10-15,17.5
79,36,Metro,14.038374,77.589629,8.1,2025-01-06,18.4
80,36,Mall,14.037357,77.554598,5.35,2028-12-14,35.2
81,37,Business District,26.223261,77.916413,13.51,2028-11-27,88.3
82,37,Business District,26.163551,77.96078,10.05,2027-09-16,62.5
83,37,Metro,26.203108,77.914572,3.34,2027-03-02,99.0
84,38,Business District,9.498586,85.277577,8.57,2026-12-11,63.0
85,39,Airport,26.610796,74.272434,9.25,2027-05-28,26.1
86,39,Airport,26.531565,74.182112,3.51,2028-08-03,42.0
87,39,Highway,26.542543,74.261205,9.82,2029-02-09,70.5
88,39,Hospital,26.564447,74.199503,6.01,2026-11-18,65.2
89,40,Business District,27.701343,78.322909,6.44,2028-09-05,18.4
90,40,School,27.696488,78.357949,11.81,2027-11-22,93.9
91,40,Metro,27.761384,78.309237,13.47,2026-03-29,53.3
92,41,Metro,18.700374,82.259842,9.69,2027-01-04,86.9
93,41,Business District,18.695308,82.270184,6.61,2025-05-21,82.1
94,41,Mall,18.764936,82.217454,8.86,2024-12-09,83.0
95,42,Airport,13.691732,75.43102,12.53,2025-02-23,65.1
96,42,School,13.699624,75.415305,8.81,2029-02-15,79.7
97,43,Airport,11.324085,86.646462,6.62,2026-05-08,67.4
98,44,Highway,27.842279,85.579942,1.49,2028-03-15,57.6
99,45,Highway,28.479779,87.969776,4.81,2027-02-26,41.0
100,45,Business District,28.539621,87.911371,7.51,2025-06-30,99.0
101,45,Airport,28.44733,87.924097,9.13,2025-11-14,59.9
102,46,Highway,12.670602,82.938452,2.05,2026-10-27,46.8
103,47,Metro,25.461,81.075049,9.18,2026-10-30,44.1
104,48,Hospital,10.745849,72.772212,0.58,2027-03-31,58.5
105,48,School,10.781712,72.6846,13.8,2025-06-04,33.6
106,49,Highway,24.088109,78.677069,10.05,2026-06-30,55.5
107,49,Mall,24.07861,78.694471,13.6,2026-01-17,87.1
108,50,Hospital,21.00171,76.176674,9.03,2026-09-04,80.6
109,51,Business District,11.538138,75.477801,5.04,2026-04-28,67.2
110,52,Airport,18.31223,83.230654,11.3,2027-08-15,48.3
111,52,School,18.354509,83.18303,12.52,2028-07-30,61.9
112,52,Highway,18.326122,83.199226,13.33,2027-11-13,50.8
113,53,Airport,12.314138,78.198854,5.07,2024-12-17,88.9
114,53,Metro,12.315447,78.244335,6.69,2025-02-07,63.9
115,53,School,12.264957,78.194758,13.12,2028-01-09,74.3
116,54,Highway,18.539181,80.73283,11.62,2026-01-19,60.9
117,54,Hospital,18.443148,80.745737,8.92,2028-04-01,46.4
118,54,Mall,18.481165,80.739895,11.19,2027-11-30,29.6
119,55,Metro,14.56367,75.762906,4.66,2029-02-28,39.9
120,55,Metro,14.58035,75.818478,1.15,2028-12-30,44.6
121,56,Metro,20.019406,84.016756,14.37,2026-04-19,47.0
122,56,School,20.022001,84.092224,14.2,2027-07-19,76.0
123,56,Highway,20.070615,84.10323,11.28,2025-05-04,57.0
124,57,Business District,28.19662,81.922574,2.24,2026-05-19,46.8
125,58,Airport,16.401544,87.680542,14.38,2029-06-21,69.4
126,58,Mall,16.460045,87.765248,13.95,2028-02-15,70.2
127,58,Airport,16.415638,87.702892,7.97,2026-08-04,63.4
128,59,Highway,21.67963,86.87771,8.29,2027-08-10,59.9
129,59,Metro,21.746678,86.941341,7.13,2029-04-27,30.1
130,59,Hospital,21.746061,86.950893,13.0,2026-03-07,45.7
131,60,Business District,18.421537,76.262437,1.76,2026-07-07,25.0
132,61,Highway,9.084725,77.716954,1.68,2028-08-03,34.9
133,61,School,9.02333,77.756814,14.88,2028-09-11,78.1
134,61,Highway,9.047164,77.735168,8.7,2027-12-25,60.7
135,61,Hospital,9.085774,77.719492,13.09,2028-10-10,47.2
136,62,Metro,17.650713,78.857403,13.99,2028-04-29,50.5
137,62,School,17.679173,78.908806,2.8,2028-01-22,52.6
138,62,Mall,17.708182,78.833646,8.56,2027-04-07,43.3
139,62,Hospital,17.668059,78.834173,4.66,2027-11-11,63.8
140,63,Business District,24.29065,75.57613,12.37,2026-10-01,60.9
141,64,Mall,16.023459,85.109134,6.77,2026-06-10,53.0
142,64,Business District,16.088328,85.117542,14.09,2026-06-12,82.1
143,64,School,16.001909,85.137387,10.77,2025-07-14,62.7
144,64,Metro,16.000917,85.11476,12.86,2025-09-14,46.0
145,65,Business District,26.488167,78.475279,2.39,2029-05-15,91.3
146,65,Airport,26.391382,78.416208,7.29,2027-01-23,58.7
147,66,Metro,20.67171,80.804068,8.14,2025-10-06,49.1
148,66,Airport,20.738773,80.741652,2.4,2025-04-27,77.5
149,66,Highway,20.756577,80.733753,6.77,2025-01-06,57.7
150,66,Highway,20.757943,80.794656,6.91,2028-11-07,72.7
151,67,Metro,25.95577,77.824709,11.31,2025-02-19,67.1
152,67,School,25.979971,77.79942,8.38,2028-06-26,54.2
153,67,School,25.942249,77.839129,11.76,2028-10-21,71.4
154,68,Business District,22.773371,82.400912,0.97,2029-01-18,69.0
155,68,School,22.8075,82.406334,7.2,2024-10-26,31.5
156,68,Metro,22.730801,82.436947,1.43,2026-04-25,72.1
157,68,Mall,22.743342,82.446814,6.78,2028-06-18,99.0
158,69,Mall,16.264924,79.683279,10.03,2025-04-15,52.3
159,69,Metro,16.253466,79.689075,1.07,2026-07-07,40.7
160,70,School,22.330008,86.76299,7.73,2025-06-11,59.0
161,71,School,26.994401,79.493975,0.64,2028-10-15,64.2
