locality_id,month,average_price_sqft,median_price_sqft,demand_index,supply_index,units_sold,available_inventory,absorption_rate,average_days_on_market
1,2020-01,9553.0,9051.0,67.1,53.8,77,85,0.906,100
1,2020-02,9512.8,8978.2,68.3,52.9,80,114,0.702,85
1,2020-03,9641.9,9574.8,70.7,52.0,90,120,0.75,78
1,2020-04,9732.5,9183.9,70.7,52.0,96,96,1.0,90
1,2020-05,9827.9,9661.2,71.9,52.5,61,50,1.22,92
1,2020-06,9893.2,9800.0,68.7,52.0,88,92,0.957,83
1,2020-07,10032.7,10213.4,71.4,53.4,103,97,1.062,87
1,2020-08,10044.0,9603.3,73.2,55.4,96,46,2.087,73
1,2020-09,10064.8,9611.9,71.3,55.2,80,90,0.889,84
1,2020-10,10062.6,9907.3,70.5,53.2,87,95,0.916,95
1,2020-11,10056.6,10234.8,73.1,50.4,86,34,2.529,78
1,2020-12,10137.5,9949.9,71.2,49.8,82,139,0.59,92
1,2021-01,10210.6,9968.6,72.4,50.1,75,87,0.862,81
1,2021-02,10227.1,10429.4,72.8,50.9,90,20,4.5,86
1,2021-03,10269.6,9697.3,74.5,52.3,124,69,1.797,70
1,2021-04,10338.3,9842.8,75.0,52.2,80,122,0.656,100
1,2021-05,10477.5,9923.7,74.3,53.3,107,28,3.821,73
1,2021-06,10538.3,10659.3,73.3,53.9,94,32,2.938,87
1,2021-07,10514.8,10174.9,73.8,55.0,84,95,0.884,86
1,2021-08,10489.7,10115.9,71.5,55.1,89,56,1.589,80
1,2021-09,10525.8,10162.6,70.7,56.2,75,109,0.688,82
1,2021-10,10535.6,10667.0,71.7,58.8,110,49,2.245,93
1,2021-11,10567.1,10165.2,72.2,60.9,91,80,1.137,83
1,2021-12,10600.6,10044.6,71.2,61.9,92,20,4.6,101
1,2022-01,10634.4,10505.4,74.5,61.1,99,31,3.194,88
1,2022-02,10649.6,10512.0,71.1,61.0,69,66,1.045,92
1,2022-03,10618.5,10160.4,68.0,62.2,71,43,1.651,99
1,2022-04,10681.6,10045.1,66.9,63.2,95,20,4.75,110
1,2022-05,10658.9,10185.8,67.7,61.4,75,78,0.962,86
1,2022-06,10692.0,10750.7,67.4,59.5,93,87,1.069,97
1,2022-07,10729.4,10358.7,66.8,60.5,84,57,1.474,95
1,2022-08,10722.9,10694.3,69.1,60.5,82,135,0.607,88
1,2022-09,10669.8,10463.5,68.5,62.3,60,78,0.769,99
1,2022-10,10691.2,10213.9,66.6,62.3,67,58,1.155,99
1,2022-11,10637.3,10017.7,67.9,63.5,70,67,1.045,104
1,2022-12,10684.6,10268.0,68.5,63.6,78,71,1.099,92
1,2023-01,10724.2,10217.0,68.0,61.7,103,90,1.144,100
1,2023-02,10758.2,10866.5,68.6,60.7,86,34,2.529,96
1,2023-03,10812.5,10190.6,69.7,62.1,82,29,2.828,101
1,2023-04,10865.5,10957.4,71.5,60.8,81,102,0.794,103
1,2023-05,10918.8,10583.6,71.6,60.4,90,92,0.978,105
1,2023-06,10916.2,10959.7,70.0,61.3,83,89,0.933,90
1,2023-07,10924.3,10296.2,67.6,61.6,98,113,0.867,103
1,2023-08,10907.2,10341.3,67.1,62.4,81,72,1.125,102
1,2023-09,10984.2,10356.1,69.6,64.4,60,81,0.741,94
1,2023-10,11060.9,11014.2,69.5,64.6,69,56,1.232,77
1,2023-11,11003.4,10700.1,68.9,65.6,70,23,3.043,98
1,2023-12,10956.4,11152.8,71.2,67.0,78,94,0.83,91
1,2024-01,10969.6,10935.8,74.2,67.9,82,34,2.412,85
1,2024-02,10967.9,10668.8,74.5,67.0,88,50,1.76,93
1,2024-03,11013.0,10994.8,73.1,67.5,89,82,1.085,95
1,2024-04,11047.6,10429.9,72.2,65.2,87,77,1.13,98
1,2024-05,11104.5,10863.8,73.5,66.4,97,149,0.651,100
1,2024-06,11134.9,11147.4,76.3,65.5,110,80,1.375,120
1,2024-07,11133.5,11170.5,76.0,66.0,103,49,2.102,98
1,2024-08,11125.4,10959.4,75.3,67.3,92,64,1.438,107
1,2024-09,11266.7,10641.4,76.1,66.6,87,45,1.933,90
1,2024-10,11332.4,11552.0,77.2,67.3,82,20,4.1,80
1,2024-11,11339.0,10857.2,77.4,68.5,87,97,0.897,91
1,2024-12,11347.1,11356.6,76.5,69.4,75,141,0.532,84
1,2025-01,11367.7,11104.7,77.2,69.9,80,51,1.569,96
1,2025-02,11351.1,11482.6,77.1,71.1,96,77,1.247,92
1,2025-03,11380.9,10774.0,75.6,70.4,89,20,4.45,84
1,2025-04,11381.6,10960.4,76.8,71.6,93,60,1.55,94
