property_id,project_id,property_type,bedrooms,bathrooms,area_sqft,floor,total_floors,age_years,parking,furnishing,asking_price,monthly_rent
1,496,Apartment,3,2,1099,9,22,4,2,Unfurnished,11491000.0,36000.0
2,132,Penthouse,3,3,1181,7,33,2,1,Fully-Furnished,14731000.0,47500.0
3,385,Apartment,3,2,1157,6,10,1,1,Unfurnished,12757000.0,49400.0
4,125,Row House,3,2,966,12,24,3,0,Semi-Furnished,10913000.0,35800.0
5,481,Apartment,2,2,827,6,6,5,0,Semi-Furnished,8389000.0,21600.0
6,476,Apartment,3,2,1436,12,17,1,2,Semi-Furnished,13663000.0,42100.0
7,487,Apartment,4,3,1260,8,6,3,0,Fully-Furnished,11245000.0,36800.0
8,387,Apartment,2,1,1242,24,11,0,1,Fully-Furnished,10585000.0,35700.0
9,50,Studio,2,1,967,29,24,3,1,Semi-Furnished,8677000.0,23000.0
10,286,Apartment,3,2,1552,13,27,3,1,Semi-Furnished,20187000.0,52200.0
11,468,Apartment,2,1,772,15,23,1,0,Semi-Furnished,8885000.0,27900.0
12,161,Villa,3,2,1231,28,21,1,1,Unfurnished,14178000.0,30800.0
13,407,Row House,4,4,1262,29,30,1,1,Fully-Furnished,14559000.0,36200.0
14,42,Apartment,3,3,1364,9,6,5,1,Unfurnished,19615000.0,47000.0
15,130,Apartment,5,4,1936,3,30,5,2,Semi-Furnished,20481000.0,57600.0
16,110,Penthouse,4,3,1627,2,4,5,0,Fully-Furnished,17976000.0,54000.0
17,444,Studio,1,1,929,13,7,2,1,Unfurnished,12597000.0,35500.0
18,254,Villa,2,1,1238,29,5,0,1,Fully-Furnished,11297000.0,27900.0
19,83,Apartment,1,1,609,20,5,2,1,Fully-Furnished,5596000.0,17800.0
20,273,Apartment,2,2,1108,26,17,2,1,Unfurnished,10789000.0,32200.0
21,92,Apartment,2,2,1156,12,18,2,0,Unfurnished,12283000.0,33200.0
22,138,Studio,2,2,703,24,33,3,1,Unfurnished,9272000.0,27400.0
23,188,Villa,2,1,1225,4,14,2,2,Semi-Furnished,10346000.0,26100.0
24,233,Villa,4,3,1668,13,11,3,2,Unfurnished,18694000.0,55800.0
25,444,Studio,4,3,1603,19,23,2,0,Semi-Furnished,14268000.0,38500.0
26,467,Apartment,5,5,1729,0,33,4,2,Unfurnished,19276000.0,63500.0
27,366,Row House,5,5,1965,19,27,1,1,Unfurnished,16099000.0,30000.0
28,480,Apartment,4,4,1433,15,5,0,2,Semi-Furnished,17523000.0,46300.0
29,140,Apartment,1,1,706,24,24,1,0,Unfurnished,8140000.0,22300.0
30,424,Villa,1,1,902,7,7,4,1,Fully-Furnished,7161000.0,15700.0
