rental_id,property_id,rental_date,monthly_rent,vacancy_days,lease_duration
1,7424,2025-06-21,26600.0,32,11
2,7761,2026-07-05,45800.0,13,24
3,877,2025-07-24,14200.0,12,36
4,5511,2024-02-04,63800.0,7,12
5,5343,2023-01-08,26900.0,27,11
6,5306,2025-11-17,25000.0,40,11
7,3860,2025-05-30,34200.0,1,11
8,3165,2026-08-01,45000.0,12,11
9,5858,2024-07-03,28100.0,44,12
10,6396,2022-11-07,45500.0,24,11
11,472,2025-07-10,30600.0,28,11
12,5454,2023-02-15,52900.0,10,12
13,4530,2026-05-14,70800.0,19,11
14,5701,2022-12-14,24000.0,14,12
15,6362,2025-03-16,39400.0,24,11
16,3527,2024-09-24,20900.0,0,12
17,3247,2024-12-07,23600.0,6,11
18,2986,2024-03-23,33000.0,43,11
19,7992,2026-06-29,28000.0,42,11
20,131,2026-05-19,46800.0,35,24
21,1723,2026-01-09,29600.0,12,11
22,7632,2024-04-02,40800.0,36,12
23,783,2023-06-29,31700.0,55,24
24,2443,2023-12-15,23200.0,26,11
25,5734,2026-03-05,32500.0,39,11
26,7739,2024-11-05,32300.0,39,24
27,7100,2023-05-31,19400.0,31,11
28,2487,2023-12-03,29500.0,9,12
29,5430,2025-01-23,47500.0,13,11
30,5164,2023-09-09,38500.0,5,12
31,6557,2025-04-25,20700.0,30,11
32,1212,2024-06-22,38200.0,45,36
33,4660,2024-10-27,38300.0,24,24
34,3468,2022-08-30,56400.0,37,11
35,4211,2025-05-19,36800.0,32,11
36,6533,2022-10-30,19300.0,19,11
37,4951,2023-05-18,23100.0,30,24
38,2971,2023-08-09,48600.0,34,36
39,7887,2025-08-14,17000.0,24,24
40,480,2024-07-18,27400.0,22,12
41,1108,2024-07-12,60800.0,0,12
42,2615,2025-07-23,24800.0,30,12
43,2092,2024-10-19,51300.0,2,36
44,7801,2023-08-12,26200.0,43,11
45,2808,2022-08-28,67600.0,21,12
46,993,2025-03-15,55300.0,56,24
47,1847,2024-11-20,52900.0,33,24
48,190,2023-04-16,37500.0,20,11
49,7254,2025-01-17,68200.0,15,11
50,2795,2024-05-12,30000.0,53,11
51,3076,2023-08-08,22400.0,21,11
52,4764,2023-05-24,28600.0,21,12
53,1942,2025-11-26,50100.0,8,11
54,7893,2025-05-24,19200.0,28,12
55,1295,2025-01-18,50700.0,0,36
56,7127,2024-07-19,62900.0,34,11
57,1563,2025-10-11,32300.0,9,11
58,3280,2023-03-02,53000.0,26,24
59,3640,2024-11-23,62100.0,32,11
60,3981,2026-01-28,43200.0,44,24
61,657,2023-10-16,40200.0,23,12
62,6293,2022-10-17,70800.0,45,11
63,2955,2026-02-08,46400.0,19,36
64,6443,2026-04-27,21500.0,30,24
65,5514,2023-12-03,44700.0,27,11
66,2489,2025-09-07,33200.0,24,11
67,610,2025-11-23,49300.0,31,36
68,2415,2026-05-16,45400.0,9,24
69,2106,2026-03-20,52100.0,28,12
70,243,2024-06-22,18200.0,43,11
71,2086,2025-02-06,18200.0,52,36
72,2888,2025-01-03,24600.0,13,36
73,7669,2023-05-19,46000.0,11,11
74,2669,2023-04-18,19100.0,50,24
75,7193,2024-07-11,9500.0,60,11
76,1394,2023-07-31,33400.0,20,11
77,6366,2026-05-14,6100.0,27,11
78,5609,2023-04-09,27300.0,31,11
79,7252,2025-07-08,30300.0,26,12
80,1511,2026-02-07,4200.0,33,24
81,7753,2025-03-29,66900.0,14,11
82,2613,2022-10-27,37300.0,30,11
83,789,2023-08-03,63000.0,47,11
84,4108,2023-05-13,18900.0,31,11
85,35,2024-12-07,30500.0,42,11
86,6482,2023-08-22,47200.0,58,11
87,3228,2026-08-07,29800.0,27,11
88,1999,2022-11-23,32300.0,34,36
89,1621,2025-02-06,52000.0,36,11
90,4035,2023-07-19,35600.0,33,11
91,7712,2025-10-29,27900.0,17,24
92,3145,2024-09-12,45900.0,12,24
93,1044,2023-10-22,39600.0,28,11
94,3545,2023-06-26,27000.0,10,11
95,2670,2023-10-27,23400.0,24,12
96,5342,2025-04-10,33000.0,32,12
97,3934,2025-01-19,61600.0,33,36
98,1533,2024-09-25,19100.0,12,36
99,4906,2026-03-11,34600.0,27,12
100,6684,2022-09-02,38800.0,11,36
101,7023,2025-04-28,35700.0,21,11
102,5798,2023-12-17,35200.0,9,12
103,162,2023-12-02,23300.0,35,11
104,4398,2022-12-20,31500.0,23,11
105,2025,2026-01-02,20000.0,8,24
106,1015,2025-05-24,50700.0,27,11
107,6550,2023-02-21,19200.0,29,11
108,5023,2024-03-10,19400.0,22,11
109,3424,2026-04-17,50500.0,50,12
110,4656,2024-05-27,30000.0,52,11
111,7787,2024-05-18,13300.0,34,12
112,3886,2025-05-23,11600.0,24,11
113,1303,2025-02-14,55900.0,41,11
114,1038,2023-06-10,21000.0,25,24
115,6576,2026-06-21,44600.0,47,36
116,7012,2023-02-17,31800.0,13,24
117,340,2022-08-25,33900.0,37,36
118,896,2025-12-18,27800.0,38,11
119,1102,2025-10-15,59700.0,2,12
120,4999,2026-07-28,40300.0,3,24
121,4087,2023-06-27,27700.0,59,11
122,6494,2023-04-03,53200.0,22,12
123,4969,2025-09-23,60800.0,7,12
124,6464,2024-05-12,27000.0,0,11
125,383,2025-02-18,29600.0,31,11
126,500,2025-10-01,33000.0,18,11
127,7362,2026-04-15,37800.0,24,11
128,5394,2024-08-08,47700.0,10,24
129,2107,2024-07-02,42800.0,37,12
130,3975,2023-07-05,20900.0,2,36
131,65,2026-05-23,21200.0,36,12
132,2625,2024-04-16,32000.0,57,11
133,5584,2025-07-15,42500.0,21,11
134,5366,2025-06-07,27000.0,0,11
135,2071,2022-10-08,46400.0,14,36
136,2755,2024-03-24,40300.0,5,36
137,1528,2026-05-07,26200.0,25,11
138,7384,2025-07-21,26400.0,32,24
139,5376,2022-09-30,25100.0,15,11
140,5741,2025-11-04,22200.0,36,11
141,6881,2022-08-25,49500.0,27,12
142,395,2024-11-12,36400.0,46,11
143,5918,2022-11-04,15700.0,25,24
144,4618,2024-02-23,49500.0,34,11
145,6569,2022-10-09,33700.0,10,24
146,4578,2025-02-02,47200.0,7,12
147,6017,2023-04-24,18700.0,0,36
148,3645,2024-08-24,39100.0,20,11
149,2329,2023-11-07,78100.0,34,12
150,7315,2025-02-25,28300.0,16,11
151,6313,2022-12-21,21000.0,19,11
152,3172,2025-12-05,52100.0,38,11
153,6410,2025-03-12,41300.0,29,11
154,201,2025-10-18,33700.0,39,11
155,6084,2023-10-28,47100.0,26,24
156,4986,2022-11-06,36600.0,34,11
157,7225,2026-03-23,35000.0,0,11
158,3177,2023-09-18,22200.0,28,11
159,7369,2025-05-02,40100.0,4,11
160,4703,2026-02-08,37900.0,44,11
161,2508,2024-07-11,19400.0,8,11
162,3730,2025-09-01,16300.0,44,11
163,5972,2024-08-28,26800.0,36,11
164,820,2024-05-06,27500.0,24,12
165,6373,2024-04-24,18500.0,40,12
166,2792,2024-02-13,20100.0,31,11
167,6116,2026-05-03,47100.0,12,11
168,2835,2025-12-31,10600.0,13,11
