table_name,column_name,data_type,is_nullable,business_meaning,analytical_use,missing_value_behavior
cities,city_id,integer,NO,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NOT NULL — no missingness expected
cities,city_name,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
cities,state,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
cities,country,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
cities,population,bigint,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
cities,average_income,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
cities,development_score,numeric,YES,"0-100 composite index of city-level development (income, infra)","Descriptive stats, correlation, segmentation KPI",NULLABLE — real missingness possible
developers,developer_id,integer,NO,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NOT NULL — no missingness expected
developers,developer_name,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
developers,rating,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
developers,delivery_score,numeric,YES,0-100 track record of on-time/quality project delivery,"Descriptive stats, correlation, segmentation KPI",NULLABLE — real missingness possible
developers,quality_score,numeric,YES,See table context; no special business logic beyond raw value,"Descriptive stats, correlation, segmentation KPI",NULLABLE — real missingness possible
developers,track_record,integer,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
developers,market_share,numeric,YES,% share of total units across all projects in the dataset,Descriptive stats,NULLABLE — real missingness possible
documents,document_id,integer,NO,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NOT NULL — no missingness expected
documents,source,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
documents,document_date,date,YES,See table context; no special business logic beyond raw value,"Time-series analysis (trend, YoY/MoM, seasonality)",NULLABLE — real missingness possible
documents,city,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
documents,locality,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
documents,topic,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
documents,text,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
documents,embedding,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
economic_monthly,month,date,YES,See table context; no special business logic beyond raw value,"Time-series analysis (trend, YoY/MoM, seasonality)",NULLABLE — real missingness possible
economic_monthly,interest_rate,numeric,YES,"Annual mortgage-adjacent interest rate (%), random-walk generated","Descriptive stats, correlation, segmentation KPI",NULLABLE — real missingness possible
economic_monthly,mortgage_rate,numeric,YES,See table context; no special business logic beyond raw value,"Descriptive stats, correlation, segmentation KPI",NULLABLE — real missingness possible
economic_monthly,inflation,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
economic_monthly,unemployment,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
economic_monthly,GDP_growth,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
economic_monthly,income_growth,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
expenses,expense_id,integer,NO,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NOT NULL — no missingness expected
expenses,property_id,integer,YES,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NULLABLE — real missingness possible
expenses,date,date,YES,See table context; no special business logic beyond raw value,"Time-series analysis (trend, YoY/MoM, seasonality)",NULLABLE — real missingness possible
expenses,property_tax,numeric,YES,See table context; no special business logic beyond raw value,"Descriptive stats, distribution analysis, outlier detection",NULLABLE — real missingness possible
expenses,maintenance,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
expenses,insurance,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
expenses,management_cost,numeric,YES,"Property management fee, computed as 8% of monthly_rent at generation time","Descriptive stats, distribution analysis, outlier detection",NULLABLE — real missingness possible
expenses,renovation_cost,numeric,YES,See table context; no special business logic beyond raw value,"Descriptive stats, distribution analysis, outlier detection",NULLABLE — real missingness possible
infrastructure,infrastructure_id,integer,NO,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NOT NULL — no missingness expected
infrastructure,locality_id,integer,YES,Structural/identifier field — see sql/01_schema.sql for FK relationships,Join key / grouping dimension,NULLABLE — real missingness possible
infrastructure,type,text,YES,See table context; no special business logic beyond raw value,Segmentation dimension / categorical analysis,NULLABLE — real missingness possible
infrastructure,latitude,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
infrastructure,longitude,numeric,YES,See table context; no special business logic beyond raw value,Descriptive stats,NULLABLE — real missingness possible
