row_count,non_null_count,null_count,unique_count,min_val,max_val,mean_val,std_val,p25,median,p75,p90,p95,p99,negative_count,zero_count,null_pct,iqr,coefficient_of_variation,table,column,label
8000,8000.0,0.0,6230.0,2044000.0,55445000.0,12620282.625000000000,4584262.4134,9422000.0,12222500.0,15245500.0,18300400.000000004,20487000.0,25440070.0,0.0,0.0,0.0,5823500.0,0.363,properties,asking_price,Property asking price (₹)
8000,8000.0,0.0,703.0,4300.0,114900.0,34397.393750000000,13400.18109958,24500.0,32800.0,42600.0,52200.0,58700.0,72800.0,0.0,0.0,0.0,18100.0,0.39,properties,monthly_rent,Property monthly rent (₹)
8000,8000.0,0.0,1606.0,250,2553,1175.4258750000000000,358.118204768422,917.0,1158.0,1418.0,1653.0,1790.0499999999993,2036.0100000000002,0.0,0.0,0.0,501.0,0.305,properties,area_sqft,Property area (sqft)
20000,20000.0,0.0,15289.0,1386000.0,3014465000.0,31100878.800000000000,115096197.25,10077250.0,15609500.0,23794750.0,39654400.00000001,64460100.0,343330189.999983,0.0,0.0,0.0,13717500.0,3.701,transactions,transaction_price,Actual transaction price (₹)
20000,20000.0,0.0,18742.0,4650.0,1901918.6,26429.150255000000,93711.16056772,9776.175000000001,13667.55,19721.5,31150.790000000005,52555.42,322883.37199999957,0.0,0.0,0.0,9945.324999999999,3.546,transactions,price_per_sqft,Transaction price per sqft (₹)
12000,12000.0,0.0,211.0,5,230,75.8570833333333333,42.8181710781096037,44.0,75.0,105.0,132.10000000000036,149.0,182.0,0.0,0.0,0.0,61.0,0.564,listing_history,days_on_market,Days on market (listing to sale/expiry)
6480,6480.0,0.0,636.0,27.3,99.0,76.0158333333333333,15.4783375827730583,64.4,76.9,89.5,96.3,98.2,99.0,0.0,0.0,0.0,25.099999999999994,0.204,market_monthly,demand_index,Locality-month demand index (0-100)
6480,6480.0,0.0,743.0,5.8,92.0,47.3040895061728395,14.8592236504181131,37.9,46.8,56.6,67.2,72.9,80.921,0.0,0.0,0.0,18.700000000000003,0.314,market_monthly,supply_index,Locality-month supply index (0-100)
6480,6480.0,0.0,234.0,20,271,77.9129629629629630,52.0853018735872549,28.0,69.0,114.0,152.0,175.0,217.0,0.0,0.0,0.0,86.0,0.669,market_monthly,available_inventory,Available inventory (units)
6480,6480.0,0.0,121.0,20,149,91.0259259259259259,21.1921498381410859,76.0,93.0,107.0,117.0,123.0,133.0,0.0,0.0,0.0,31.0,0.233,market_monthly,units_sold,Units sold per locality-month
8000,,,,0.94707280190105854400,10.15702795863653772500,3.29339681068870188998,0.6314299963452811815716710751697910807234,2.8822354586323047,3.295046388981935,3.706166119459695,,4.303698995855617,,,,,,,properties (derived),gross_rental_yield_pct,Gross rental yield (%)
