month,avg_price_sqft,avg_demand,avg_supply,total_units_sold,total_inventory,avg_dom,month_date
2020-01-01,10229.31111111111,67.95,46.75111111111111,7229.0,8634.0,88.67777777777778,2020-01-01
2020-02-01,10323.242222222221,68.10333333333334,46.797777777777775,7289.0,8906.0,88.54444444444445,2020-02-01
2020-03-01,10430.15111111111,68.5,46.80444444444444,7357.0,8542.0,85.61111111111111,2020-03-01
2020-04-01,10531.933333333332,68.74777777777778,46.72222222222222,7439.0,8639.0,88.57777777777778,2020-04-01
2020-05-01,10642.388888888889,68.8488888888889,46.79222222222222,7476.0,8665.0,88.55555555555556,2020-05-01
2020-06-01,10747.847777777779,68.77888888888889,46.88777777777778,7325.0,8923.0,87.31111111111112,2020-06-01
2020-07-01,10857.556666666667,69.08444444444444,46.90888888888889,7593.0,8585.0,88.5111111111111,2020-07-01
2020-08-01,10969.931111111111,69.13777777777777,46.86222222222222,7482.0,8373.0,88.32222222222222,2020-08-01
2020-09-01,11081.597777777779,69.43333333333334,47.00333333333333,7425.0,8922.0,86.85555555555555,2020-09-01
2020-10-01,11203.444444444443,69.69777777777777,46.873333333333335,7606.0,8537.0,89.05555555555556,2020-10-01
2020-11-01,11335.31111111111,70.35555555555555,46.894444444444446,7465.0,8456.0,85.7,2020-11-01
2020-12-01,11469.992222222221,70.81111111111112,46.98111111111111,7582.0,8353.0,86.11111111111111,2020-12-01
2021-01-01,11613.261111111111,71.04222222222222,46.87888888888889,7697.0,7969.0,85.61111111111111,2021-01-01
2021-02-01,11760.40111111111,71.50777777777778,46.88333333333333,7672.0,7619.0,84.67777777777778,2021-02-01
2021-03-01,11905.406666666668,71.62444444444445,46.79,7895.0,8767.0,84.24444444444444,2021-03-01
2021-04-01,12051.494444444445,71.53777777777778,46.76111111111111,7643.0,7999.0,86.86666666666666,2021-04-01
2021-05-01,12210.17111111111,71.83555555555556,46.971111111111114,7649.0,8332.0,85.16666666666667,2021-05-01
2021-06-01,12368.063333333334,72.26555555555555,46.983333333333334,7695.0,7967.0,85.13333333333334,2021-06-01
2021-07-01,12522.902222222221,72.63,46.971111111111114,7780.0,7893.0,84.24444444444444,2021-07-01
2021-08-01,12691.94,72.95444444444445,47.12777777777778,7876.0,7807.0,85.2,2021-08-01
2021-09-01,12876.35,73.18111111111111,47.23777777777778,7941.0,6750.0,83.78888888888889,2021-09-01
2021-10-01,13054.57888888889,73.41666666666667,47.52333333333333,8004.0,7248.0,83.96666666666667,2021-10-01
2021-11-01,13244.676666666666,73.95,47.61,8133.0,7180.0,84.0,2021-11-01
2021-12-01,13442.988888888889,74.30888888888889,47.52333333333333,8049.0,6874.0,83.63333333333334,2021-12-01
2022-01-01,13659.48111111111,74.66777777777777,47.58888888888889,7967.0,7607.0,81.83333333333333,2022-01-01
2022-02-01,13865.953333333333,74.80111111111111,47.52444444444444,7853.0,7728.0,84.57777777777778,2022-02-01
2022-03-01,14096.467777777778,75.02888888888889,47.42666666666667,8080.0,7679.0,83.04444444444445,2022-03-01
2022-04-01,14337.9,75.1288888888889,47.565555555555555,8205.0,7406.0,82.75555555555556,2022-04-01
2022-05-01,14588.09888888889,75.22,47.51222222222222,8027.0,7548.0,83.02222222222223,2022-05-01
2022-06-01,14863.01,75.65,47.6,8087.0,7138.0,82.91111111111111,2022-06-01
2022-07-01,15120.773333333333,75.68,47.35777777777778,8042.0,7335.0,81.02222222222223,2022-07-01
2022-08-01,15416.886666666667,75.88222222222223,47.285555555555554,8136.0,6786.0,82.7,2022-08-01
2022-09-01,15711.673333333332,76.07,47.25888888888889,8039.0,7200.0,83.46666666666667,2022-09-01
2022-10-01,16033.305555555557,76.49444444444444,47.44888888888889,8213.0,6929.0,82.25555555555556,2022-10-01
2022-11-01,16381.52,76.74333333333334,47.49444444444445,8311.0,6440.0,81.55555555555556,2022-11-01
2022-12-01,16764.684444444443,77.04666666666667,47.66444444444444,8276.0,6748.0,79.18888888888888,2022-12-01
2023-01-01,17179.46222222222,77.32,47.58555555555556,8308.0,6872.0,79.15555555555555,2023-01-01
2023-02-01,17630.61888888889,77.24555555555555,47.61222222222222,8350.0,6380.0,82.12222222222222,2023-02-01
2023-03-01,18126.112222222222,77.33666666666667,47.535555555555554,8590.0,6817.0,82.0,2023-03-01
2023-04-01,18613.784444444445,77.61111111111111,47.534444444444446,8230.0,6542.0,81.94444444444444,2023-04-01
2023-05-01,19133.667777777777,77.76777777777778,47.44888888888889,8359.0,6988.0,82.0,2023-05-01
2023-06-01,19686.134444444444,78.00111111111111,47.60777777777778,8475.0,6602.0,81.0,2023-06-01
2023-07-01,20293.284444444445,78.02333333333333,47.77333333333333,8374.0,6402.0,81.3,2023-07-01
2023-08-01,20907.606666666667,78.07222222222222,47.81,8487.0,6752.0,81.93333333333334,2023-08-01
2023-09-01,21544.92777777778,78.20333333333333,47.593333333333334,8577.0,6734.0,80.61111111111111,2023-09-01
2023-10-01,22227.757777777777,78.30111111111111,47.5,8408.0,6123.0,78.88888888888889,2023-10-01
2023-11-01,22947.03777777778,78.43666666666667,47.52,8539.0,5596.0,79.15555555555555,2023-11-01
2023-12-01,23678.91222222222,78.29888888888888,47.43888888888889,8474.0,6658.0,80.56666666666666,2023-12-01
2024-01-01,24382.816666666666,78.38777777777777,47.56666666666667,8401.0,6378.0,79.91111111111111,2024-01-01
2024-02-01,25182.49,78.36777777777777,47.553333333333335,8392.0,6560.0,80.25555555555556,2024-02-01
2024-03-01,25948.615555555556,78.39222222222222,47.61333333333334,8238.0,6616.0,79.2,2024-03-01
2024-04-01,26789.02,78.52,47.306666666666665,8464.0,6483.0,80.42222222222222,2024-04-01
2024-05-01,27709.283333333333,78.63,47.26222222222222,8580.0,6383.0,79.83333333333333,2024-05-01
2024-06-01,28658.355555555558,79.08666666666667,47.02111111111111,8372.0,6721.0,79.2,2024-06-01
2024-07-01,29714.737777777777,79.16777777777777,46.92888888888889,8396.0,6602.0,78.85555555555555,2024-07-01
2024-08-01,30915.15111111111,79.25666666666666,47.20444444444444,8678.0,5502.0,78.88888888888889,2024-08-01
2024-09-01,32048.78777777778,79.31666666666666,47.30555555555556,8390.0,6061.0,79.24444444444444,2024-09-01
2024-10-01,33287.926666666666,79.68888888888888,47.42888888888889,8611.0,6189.0,78.54444444444445,2024-10-01
2024-11-01,34624.67222222222,79.89777777777778,47.343333333333334,8662.0,6221.0,79.0111111111111,2024-11-01
2024-12-01,36014.17888888889,80.31333333333333,47.513333333333335,8851.0,6223.0,78.95555555555555,2024-12-01
2025-01-01,37541.11777777778,80.61555555555556,47.38444444444445,8788.0,5677.0,77.8,2025-01-01
