property_id,valuation_uncertainty_risk,developer_risk,locality_quality_risk,market_liquidity_risk,price_volatility_risk,risk_score,risk_band
1,6.12,35.8,67.09,69.3,9.98,37.47,MODERATE
2,23.41,30.5,38.77,75.74,3.32,35.35,MODERATE
3,2.59,45.69,41.04,21.17,0.05,22.24,LOW
4,10.22,27.6,55.38,71.74,7.53,34.63,MODERATE
5,23.07,46.27,52.06,66.65,0.0,38.76,MODERATE
6,44.68,28.79,46.43,78.47,6.48,42.88,MODERATE
7,50.44,50.98,40.07,84.98,2.17,48.14,MODERATE
8,55.38,32.66,44.94,41.99,4.2,38.39,MODERATE
9,37.88,30.65,54.8,54.62,4.34,38.13,MODERATE
10,25.27,55.29,37.2,33.49,4.35,32.16,MODERATE
11,23.17,7.4,36.79,73.54,2.69,29.74,LOW
12,13.49,55.29,43.41,62.07,2.53,35.9,MODERATE
13,9.82,7.4,56.62,50.18,100.0,40.29,MODERATE
14,52.44,47.08,43.87,39.72,19.26,42.13,MODERATE
15,12.84,47.08,49.08,53.12,1.49,33.29,MODERATE
16,3.53,27.8,40.07,84.98,2.17,31.78,MODERATE
17,17.75,13.5,37.2,33.49,4.35,21.93,LOW
18,76.6,13.5,37.97,85.55,7.91,47.74,MODERATE
19,15.7,39.19,53.49,50.77,10.04,34.12,MODERATE
20,28.45,35.8,43.21,37.75,6.15,31.39,MODERATE
21,10.86,92.37,34.3,19.13,10.61,33.47,MODERATE
22,24.6,22.06,33.99,44.43,2.53,26.63,LOW
23,31.73,9.17,74.84,21.52,9.31,30.44,MODERATE
24,1.43,50.43,49.28,20.61,8.21,25.65,LOW
25,80.16,13.5,37.2,33.49,4.35,37.53,MODERATE
26,22.16,9.3,54.8,54.62,4.34,29.93,LOW
27,34.55,81.03,49.06,88.54,1.51,52.59,MODERATE
28,12.58,39.87,27.73,28.53,9.45,23.79,LOW
29,30.03,30.5,52.61,51.56,6.38,35.4,MODERATE
30,62.62,50.43,62.34,56.72,6.72,50.56,MODERATE
31,18.47,54.51,43.21,37.75,6.15,32.63,MODERATE
32,28.46,30.5,50.05,54.59,6.49,35.12,MODERATE
33,25.83,39.19,53.94,66.16,1.04,38.47,MODERATE
34,23.19,28.79,41.04,21.17,0.05,24.01,LOW
35,16.84,30.65,47.71,75.92,5.14,35.84,MODERATE
36,13.47,9.17,40.22,58.67,10.3,26.52,LOW
37,22.21,30.5,38.77,75.74,3.32,35.05,MODERATE
38,51.46,33.91,42.71,43.66,6.29,37.86,MODERATE
39,7.46,13.5,37.97,85.55,7.91,30.45,MODERATE
40,33.28,50.43,49.08,53.12,1.49,39.07,MODERATE
41,22.45,54.51,45.17,43.38,7.55,35.36,MODERATE
42,14.39,13.5,69.63,63.49,5.5,33.74,MODERATE
43,16.39,13.5,45.17,43.38,7.55,25.64,LOW
44,28.08,45.61,55.16,54.74,3.55,38.65,MODERATE
45,3.89,45.61,62.03,35.4,11.62,31.32,MODERATE
46,19.01,31.05,47.75,23.78,2.21,25.6,LOW
47,6.87,27.8,49.06,88.54,1.51,35.02,MODERATE
48,2.81,39.19,69.63,63.49,5.5,35.99,MODERATE
49,42.85,81.78,59.46,42.01,6.98,48.41,MODERATE
50,33.93,30.5,34.09,22.41,5.31,26.68,LOW
51,3.19,38.81,61.69,65.14,8.5,35.2,MODERATE
52,100.0,39.87,64.62,62.23,1.45,58.56,ELEVATED
53,78.15,9.17,40.22,58.67,10.3,42.69,MODERATE
54,42.19,55.28,44.14,84.78,4.01,47.99,MODERATE
55,54.1,9.17,49.79,22.56,7.83,31.0,MODERATE
56,15.46,9.3,74.34,80.87,5.45,37.58,MODERATE
57,14.47,7.4,56.62,50.18,100.0,41.46,MODERATE
58,21.24,9.3,40.07,84.98,2.17,32.51,MODERATE
59,5.17,30.65,49.08,53.12,1.49,28.09,LOW
60,7.17,31.05,47.71,75.92,5.14,33.5,MODERATE
61,26.63,30.65,54.59,66.05,6.77,37.93,MODERATE
62,15.3,50.98,62.34,56.72,6.72,38.84,MODERATE
63,26.98,45.69,62.96,56.72,14.21,41.95,MODERATE
64,16.02,47.08,64.62,62.23,1.45,39.01,MODERATE
65,6.41,55.28,45.14,30.75,2.65,28.23,LOW
66,8.21,27.8,64.25,82.95,6.21,37.99,MODERATE
67,0.35,41.92,62.83,59.7,4.82,33.7,MODERATE
68,55.13,39.87,54.59,66.05,6.77,46.9,MODERATE
69,28.45,21.89,61.51,50.38,8.86,35.2,MODERATE
70,43.58,81.78,62.23,24.09,4.71,45.22,MODERATE
71,48.14,39.87,44.39,16.48,3.54,32.71,MODERATE
72,13.1,9.17,37.97,85.55,7.91,31.0,MODERATE
73,24.55,54.51,41.57,33.83,3.77,32.69,MODERATE
