expense_id,property_id,date,property_tax,maintenance,insurance,management_cost,renovation_cost
1,7271,2025-05-08,25530.0,4010.0,10210.0,2540.0,300000
2,7604,2024-11-23,24830.0,5680.0,9930.0,2230.0,0
3,861,2025-02-06,22650.0,2900.0,9060.0,2670.0,300000
4,5391,2024-09-07,22070.0,4240.0,8830.0,2720.0,150000
5,5227,2024-10-28,30500.0,3820.0,12200.0,3330.0,0
6,5192,2025-05-21,30730.0,3990.0,12290.0,4100.0,300000
7,3773,2024-10-14,23620.0,3820.0,9450.0,2350.0,50000
8,3093,2024-09-29,31230.0,3090.0,12490.0,3090.0,150000
9,5735,2024-09-13,33970.0,4020.0,13590.0,3740.0,0
10,6266,2026-03-19,25710.0,3700.0,10290.0,2360.0,300000
11,467,2025-01-23,21930.0,3590.0,8770.0,2260.0,300000
12,5335,2025-07-05,24020.0,3110.0,9610.0,3420.0,0
13,4427,2025-10-17,41730.0,4540.0,16690.0,4850.0,0
14,5579,2026-02-25,30370.0,3870.0,12150.0,3330.0,0
15,6232,2024-12-12,24360.0,5030.0,9740.0,4150.0,50000
16,3445,2025-01-20,21910.0,2620.0,8760.0,2100.0,0
17,3172,2026-06-26,26230.0,6280.0,10490.0,4060.0,300000
18,2920,2024-08-24,9230.0,1670.0,3690.0,940.0,0
19,7832,2025-05-05,25100.0,5870.0,10040.0,3460.0,0
20,131,2026-02-22,23620.0,4670.0,9450.0,3690.0,0
21,1686,2025-05-07,28370.0,4920.0,11350.0,3060.0,0
22,7477,2024-10-11,34820.0,4770.0,13930.0,5860.0,0
23,770,2026-04-24,9160.0,1590.0,3670.0,1140.0,0
24,2392,2025-12-16,11570.0,2920.0,4630.0,1490.0,0
25,5612,2025-11-16,29280.0,6760.0,11710.0,3340.0,0
26,7582,2025-01-30,25770.0,2410.0,10310.0,2370.0,0
27,6950,2026-07-05,44150.0,8870.0,17660.0,4270.0,50000
28,2434,2025-01-02,22810.0,4150.0,9120.0,2250.0,300000
29,5312,2026-04-11,23380.0,3990.0,9350.0,2740.0,0
30,5052,2024-10-10,27140.0,5610.0,10860.0,3480.0,300000
31,6421,2026-04-02,25220.0,3790.0,10090.0,3010.0,0
32,1185,2026-06-02,17730.0,2680.0,7090.0,2470.0,300000
33,4556,2024-12-16,23460.0,2300.0,9390.0,3350.0,0
34,3386,2026-05-21,20800.0,3610.0,8320.0,1900.0,300000
35,4118,2024-08-24,34410.0,5050.0,13760.0,2520.0,50000
36,6397,2026-07-28,18060.0,4440.0,7220.0,2620.0,0
37,4844,2026-04-02,30300.0,4280.0,12120.0,3010.0,300000
38,2905,2025-10-04,28160.0,3530.0,11260.0,2740.0,50000
39,7729,2024-10-19,18570.0,1810.0,7430.0,2120.0,50000
40,475,2025-07-28,18570.0,3650.0,7430.0,2310.0,0
41,1083,2024-09-09,30400.0,5390.0,12160.0,3180.0,300000
42,2559,2025-10-13,27870.0,4870.0,11150.0,2380.0,300000
43,7850,2026-01-03,30230.0,4950.0,12090.0,3700.0,0
44,2048,2025-01-02,34540.0,3720.0,13820.0,3840.0,0
45,7644,2025-08-10,34770.0,4250.0,13910.0,4910.0,50000
46,2748,2025-12-04,20840.0,2300.0,8340.0,2460.0,50000
47,976,2026-03-18,43450.0,8380.0,17380.0,4410.0,300000
48,1807,2025-07-18,17620.0,2890.0,7050.0,1700.0,0
49,190,2025-04-21,21660.0,4230.0,8660.0,2920.0,300000
50,7102,2025-08-16,15500.0,1690.0,6200.0,780.0,50000
51,2735,2025-04-16,29520.0,3890.0,11810.0,3740.0,150000
52,3006,2025-11-25,26960.0,4890.0,10790.0,3500.0,50000
53,4659,2025-07-04,29140.0,6440.0,11660.0,3780.0,300000
54,1900,2025-06-05,16250.0,2490.0,6500.0,1700.0,0
55,7735,2024-11-16,28610.0,6520.0,11440.0,1430.0,0
56,1268,2024-10-16,17280.0,2180.0,6910.0,1380.0,0
57,6976,2025-07-14,27910.0,4990.0,11160.0,2840.0,50000
58,1529,2026-01-23,18360.0,4600.0,7350.0,1980.0,0
59,3203,2026-02-11,22270.0,4730.0,8910.0,2940.0,300000
60,3557,2026-08-15,10210.0,2350.0,4080.0,850.0,300000
61,3891,2025-02-23,27870.0,4780.0,11150.0,3540.0,0
62,647,2024-11-06,30120.0,8860.0,12050.0,3830.0,300000
63,6165,2026-04-23,23740.0,2390.0,9490.0,2040.0,0
64,2889,2025-05-09,27090.0,4610.0,10830.0,2750.0,50000
65,6311,2025-03-16,38060.0,3900.0,15220.0,2720.0,300000
