property_id,gross_annual_rent,effective_gross_income,annual_operating_expenses,noi,loan_amount,annual_debt_service,closing_costs,equity_invested,annual_net_cash_flow,exit_value,remaining_loan_balance_at_exit,selling_costs,net_sale_proceeds,holding_period_years,cash_flow_schedule
2731,452400.0,451540.44,71895.0,379645.44,0.0,0.0,1494710.0,22847710.0,379645.44,50232017.35,0.0,1004640.35,49227377.0,5,"[-22847710.0, 379645.44, 379645.44, 379645.44, 379645.44, 49607022.44]"
5053,496800.0,459738.72,53720.0,406018.72,0.0,0.0,1167390.0,17844390.0,406018.72,36814147.14,0.0,736282.94,36077864.2,5,"[-17844390.0, 406018.72, 406018.72, 406018.72, 406018.72, 36483882.92]"
7622,650400.0,580091.76,55450.0,524641.76,0.0,0.0,1125460.0,17203460.0,524641.76,28158278.45,0.0,563165.57,27595112.88,5,"[-17203460.0, 524641.76, 524641.76, 524641.76, 524641.76, 28119754.64]"
5923,513600.0,429985.92,47490.0,382495.92,0.0,0.0,970060.0,14828060.0,382495.92,14826326.73,0.0,296526.53,14529800.19,5,"[-14828060.0, 382495.92, 382495.92, 382495.92, 382495.92, 14912296.11]"
5342,390000.0,379197.0,35450.0,343747.0,0.0,0.0,729260.0,11147260.0,343747.0,22070643.38,0.0,441412.87,21629230.51,5,"[-11147260.0, 343747.0, 343747.0, 343747.0, 343747.0, 21972977.51]"
3559,406800.0,401959.08,49120.0,352839.08,0.0,0.0,1044400.0,15964400.0,352839.08,25781688.16,0.0,515633.76,25266054.4,5,"[-15964400.0, 352839.08, 352839.08, 352839.08, 352839.08, 25618893.48]"
1256,190800.0,190800.0,20850.0,169950.0,0.0,0.0,462700.0,7072700.0,169950.0,5887033.75,0.0,117740.68,5769293.08,5,"[-7072700.0, 169950.0, 169950.0, 169950.0, 169950.0, 5939243.08]"
5691,477600.0,464800.32,41770.0,423030.32,0.0,0.0,845180.0,12919180.0,423030.32,23472640.68,0.0,469452.81,23003187.87,5,"[-12919180.0, 423030.32, 423030.32, 423030.32, 423030.32, 23426218.19]"
5354,260400.0,248057.04,33240.0,214817.04,0.0,0.0,692160.0,10580160.0,214817.04,11003044.74,0.0,220060.89,10782983.85,5,"[-10580160.0, 214817.04, 214817.04, 214817.04, 214817.04, 10997800.89]"
7672,722400.0,714598.08,66270.0,648328.08,0.0,0.0,1426250.0,21801250.0,648328.08,35018951.16,0.0,700379.02,34318572.13,5,"[-21801250.0, 648328.08, 648328.08, 648328.08, 648328.08, 34966900.21]"
195,346800.0,324674.16,45180.0,279494.16,0.0,0.0,936460.0,14314460.0,279494.16,11914786.32,0.0,238295.73,11676490.59,5,"[-14314460.0, 279494.16, 279494.16, 279494.16, 279494.16, 11955984.75]"
6007,824400.0,802223.64,74600.0,727623.64,0.0,0.0,1545670.0,23626670.0,727623.64,42739314.55,0.0,854786.29,41884528.26,5,"[-23626670.0, 727623.64, 727623.64, 727623.64, 727623.64, 42612151.9]"
5842,436800.0,429942.24,35310.0,394632.24,0.0,0.0,717570.0,10968570.0,394632.24,16842176.85,0.0,336843.54,16505333.31,5,"[-10968570.0, 394632.24, 394632.24, 394632.24, 394632.24, 16899965.55]"
26,762000.0,759714.0,62720.0,696994.0,0.0,0.0,1349320.0,20625320.0,696994.0,40994799.83,0.0,819896.0,40174903.84,5,"[-20625320.0, 696994.0, 696994.0, 696994.0, 696994.0, 40871897.84]"
5648,540000.0,531144.0,47465.0,483679.0,0.0,0.0,997220.0,15243220.0,483679.0,24949796.92,0.0,498995.94,24450800.98,5,"[-15243220.0, 483679.0, 483679.0, 483679.0, 483679.0, 24934479.98]"
1647,804000.0,734936.4,78305.0,656631.4,0.0,0.0,1665790.0,25462790.0,656631.4,55981422.61,0.0,1119628.45,54861794.15,5,"[-25462790.0, 656631.4, 656631.4, 656631.4, 656631.4, 55518425.55]"
7944,411600.0,407648.64,36340.0,371308.64,0.0,0.0,759780.0,11613780.0,371308.64,21128606.8,0.0,422572.14,20706034.66,5,"[-11613780.0, 371308.64, 371308.64, 371308.64, 371308.64, 21077343.3]"
5177,396000.0,371250.0,32060.0,339190.0,0.0,0.0,647570.0,9898570.0,339190.0,14623230.16,0.0,292464.6,14330765.56,5,"[-9898570.0, 339190.0, 339190.0, 339190.0, 339190.0, 14669955.56]"
4043,652800.0,623358.72,57396.67,565962.05,0.0,0.0,1175860.0,17973860.0,565962.05,32699312.42,0.0,653986.25,32045326.17,5,"[-17973860.0, 565962.05, 565962.05, 565962.05, 565962.05, 32611288.22]"
6644,270000.0,250128.0,28240.0,221888.0,0.0,0.0,602560.0,9210560.0,221888.0,8432977.08,0.0,168659.54,8264317.54,5,"[-9210560.0, 221888.0, 221888.0, 221888.0, 221888.0, 8486205.54]"
1084,619200.0,592636.32,48450.0,544186.32,0.0,0.0,1019550.0,15584550.0,544186.32,12971958.64,0.0,259439.17,12712519.47,5,"[-15584550.0, 544186.32, 544186.32, 544186.32, 544186.32, 13256705.79]"
6687,711600.0,689611.56,61660.0,627951.56,0.0,0.0,1224580.0,18718580.0,627951.56,32719387.39,0.0,654387.75,32064999.64,5,"[-18718580.0, 627951.56, 627951.56, 627951.56, 627951.56, 32692951.2]"
7269,565200.0,532927.08,48490.0,484437.08,0.0,0.0,963900.0,14733900.0,484437.08,16536965.86,0.0,330739.32,16206226.54,5,"[-14733900.0, 484437.08, 484437.08, 484437.08, 484437.08, 16690663.62]"
5565,426000.0,407469.0,46440.0,361029.0,0.0,0.0,963900.0,14733900.0,361029.0,13121609.19,0.0,262432.18,12859177.0,5,"[-14733900.0, 361029.0, 361029.0, 361029.0, 361029.0, 13220206.0]"
1239,690000.0,673647.0,63040.0,610607.0,0.0,0.0,1349810.0,20632810.0,610607.0,40851239.8,0.0,817024.8,40034215.0,5,"[-20632810.0, 610607.0, 610607.0, 610607.0, 610607.0, 40644822.0]"
