property_id,gross_yield,net_yield,cap_rate,cash_on_cash_return,dscr,roi_total_holding_period,irr,npv,payback_period_years,terminal_value_cagr
2731,0.0212,0.0178,0.0178,0.0166,,1.2377,0.1785,9157772.97,4.43,0.1866
5053,0.0298,0.0243,0.0243,0.0228,,1.1356,0.1688,6096255.56,4.44,0.1716
7622,0.0405,0.0326,0.0326,0.0305,,0.7565,0.1247,1919739.04,4.54,0.1186
5923,0.0371,0.0276,0.0276,0.0258,,0.1089,0.0219,-4356236.77,4.89,0.0136
5342,0.0374,0.033,0.033,0.0308,,1.0945,0.166,3585862.0,4.44,0.162
3559,0.0273,0.0236,0.0236,0.0221,,0.6932,0.1148,1061369.64,4.57,0.1156
1256,0.0289,0.0257,0.0257,0.024,,-0.0641,-0.0139,-2846178.7,,-0.0229
5691,0.0396,0.035,0.035,0.0327,,0.9443,0.1488,2967607.59,4.48,0.1422
5354,0.0263,0.0217,0.0217,0.0203,,0.1207,0.024,-3070449.81,4.88,0.0216
7672,0.0355,0.0318,0.0318,0.0297,,0.7228,0.1201,1965556.72,4.55,0.1144
195,0.0259,0.0209,0.0209,0.0195,,-0.0867,-0.0187,-6004775.25,,-0.0229
6007,0.0373,0.033,0.033,0.0308,,0.9267,0.1463,5138592.77,4.49,0.1412
5842,0.0426,0.0385,0.0385,0.036,,0.6847,0.1161,775910.07,4.56,0.1044
26,0.0395,0.0362,0.0362,0.0338,,1.1168,0.1691,6962290.08,4.44,0.1629
5648,0.0379,0.034,0.034,0.0317,,0.7627,0.1257,1772327.65,4.53,0.1186
1647,0.0338,0.0276,0.0276,0.0258,,1.2835,0.1854,11091217.43,4.41,0.1866
7944,0.0379,0.0342,0.0342,0.032,,0.9427,0.1484,2650590.32,4.48,0.1425
5177,0.0428,0.0367,0.0367,0.0343,,0.6191,0.1066,285504.88,4.58,0.0959
4043,0.0389,0.0337,0.0337,0.0315,,0.9403,0.1481,4069207.77,4.48,0.1425
6644,0.0314,0.0258,0.0258,0.0241,,0.0177,0.0037,-3237938.92,4.98,-0.0041
1084,0.0425,0.0374,0.0374,0.0349,,-0.0097,-0.0021,-5628181.29,,-0.0229
6687,0.0407,0.0359,0.0359,0.0335,,0.8807,0.1412,3571692.47,4.5,0.1334
7269,0.041,0.0352,0.0352,0.0329,,0.2643,0.0509,-2834710.7,4.77,0.0373
5565,0.0309,0.0262,0.0262,0.0245,,-0.0047,-0.001,-5380778.85,,-0.0096
1239,0.0358,0.0317,0.0317,0.0296,,1.0883,0.165,6539968.68,4.45,0.162
