property_id,driver,driver_value,delta_label,irr,npv,roi
2731,purchase_price,19217700.0,-0.1,0.1799,8385911.16,1.2469
2731,purchase_price,20285350.0,-0.05,0.1791,8771842.07,1.242
2731,purchase_price,21353000.0,0.0,0.1785,9157772.97,1.2377
2731,purchase_price,22420650.0,0.05,0.1779,9543703.87,1.2337
2731,purchase_price,23488300.000000004,0.1,0.1773,9929634.77,1.2301
2731,monthly_rent,33930.0,-0.1,0.177,8986603.63,1.2278
2731,monthly_rent,35815.0,-0.05,0.1777,9072188.3,1.2327
2731,monthly_rent,37700.0,0.0,0.1785,9157772.97,1.2377
2731,monthly_rent,39585.0,0.05,0.1792,9243357.64,1.2426
2731,monthly_rent,41470.0,0.1,0.18,9328942.31,1.2476
2731,vacancy_rate,0.00095,-0.5,0.1785,9159402.17,1.2378
2731,vacancy_rate,0.0019,0.0,0.1785,9157772.97,1.2377
2731,vacancy_rate,0.00285,0.5,0.1785,9156143.76,1.2376
2731,vacancy_rate,0.0038,1.0,0.1785,9154514.56,1.2375
2731,vacancy_rate,0.0057,2.0,0.1784,9151256.15,1.2373
2731,annual_operating_expenses,64705.5,-0.1,0.1787,9185026.83,1.2392
2731,annual_operating_expenses,68300.25,-0.05,0.1786,9171399.9,1.2385
2731,annual_operating_expenses,71895.0,0.0,0.1785,9157772.97,1.2377
2731,annual_operating_expenses,75489.75,0.05,0.1784,9144146.04,1.2369
2731,annual_operating_expenses,79084.5,0.1,0.1782,9130519.11,1.2361
2731,appreciation_rate,0.1566,-0.03,0.1496,5484335.8,0.9787
2731,appreciation_rate,0.17159999999999997,-0.015,0.164,7274034.91,1.1049
2731,appreciation_rate,0.1866,0.0,0.1785,9157772.97,1.2377
2731,appreciation_rate,0.2016,0.015,0.193,11139208.16,1.3773
2731,appreciation_rate,0.2166,0.03,0.2075,13222092.32,1.5242
2731,holding_period_years,3.0,-2.0,0.1669,4363985.29,0.5801
2731,holding_period_years,4.0,-1.0,0.1743,6691262.64,0.8822
2731,holding_period_years,5.0,0.0,0.1785,9157772.97,1.2377
2731,holding_period_years,6.0,1.0,0.181,11778476.57,1.6563
2731,holding_period_years,7.0,2.0,0.1827,14569147.95,2.15
5053,purchase_price,15009300.0,-0.1,0.1707,5640543.05,1.1482
5053,purchase_price,15843150.0,-0.05,0.1697,5868399.31,1.1416
5053,purchase_price,16677000.0,0.0,0.1688,6096255.56,1.1356
5053,purchase_price,17510850.0,0.05,0.1679,6324111.82,1.1302
5053,purchase_price,18344700.0,0.1,0.1672,6551968.08,1.1252
5053,monthly_rent,37260.0,-0.1,0.1668,5921978.43,1.1227
5053,monthly_rent,39330.0,-0.05,0.1678,6009116.98,1.1291
5053,monthly_rent,41400.0,0.0,0.1688,6096255.56,1.1356
5053,monthly_rent,43470.0,0.05,0.1698,6183394.15,1.142
5053,monthly_rent,45540.00000000001,0.1,0.1708,6270532.7,1.1485
5053,vacancy_rate,0.0373,-0.5,0.1696,6166501.27,1.1408
5053,vacancy_rate,0.0746,0.0,0.1688,6096255.56,1.1356
5053,vacancy_rate,0.1119,0.5,0.168,6026009.86,1.1304
5053,vacancy_rate,0.1492,1.0,0.1672,5955764.15,1.1252
5053,vacancy_rate,0.2238,2.0,0.1656,5815272.74,1.1148
5053,annual_operating_expenses,48348.0,-0.1,0.169,6116619.67,1.1371
5053,annual_operating_expenses,51034.0,-0.05,0.1689,6106437.62,1.1363
5053,annual_operating_expenses,53720.0,0.0,0.1688,6096255.56,1.1356
5053,annual_operating_expenses,56406.0,0.05,0.1687,6086073.51,1.1348
5053,annual_operating_expenses,59092.00000000001,0.1,0.1685,6075891.46,1.1341
