property_id,INVEST,HOLD,AVOID,INSUFFICIENT
2731,100.0,0.0,0.0,0.0
5053,100.0,0.0,0.0,0.0
7622,83.2,16.9,0.0,0.0
5923,0.0,79.7,20.3,0.0
5342,100.0,0.0,0.0,0.0
3559,72.7,27.4,0.0,0.0
1256,0.0,27.7,72.3,0.0
5691,98.8,1.2,0.0,0.0
5354,0.0,83.4,16.6,0.0
7672,80.2,19.8,0.0,0.0
195,0.0,21.5,78.5,0.0
6007,98.2,1.8,0.0,0.0
5842,75.5,24.5,0.0,0.0
26,100.0,0.0,0.0,0.0
5648,85.8,14.2,0.0,0.0
1647,100.0,0.0,0.0,0.0
7944,98.7,1.3,0.0,0.0
5177,60.1,39.9,0.0,0.0
4043,98.6,1.4,0.0,0.0
6644,0.0,55.4,44.6,0.0
1084,0.0,46.1,53.9,0.0
6687,96.0,4.0,0.0,0.0
7269,0.6,99.0,0.5,0.0
5565,0.0,48.1,51.9,0.0
1239,100.0,0.0,0.0,0.0
