locality_id,locality_name,city,state,latitude,longitude,validation_status,location_score,accessibility_score
1,Bakshi Layout,Mumbai,Maharashtra,18.541806,81.682426,PASS WITH LIMITATIONS,43.8,34.6
2,Konda Colony,Mumbai,Maharashtra,10.501784,80.175242,PASS WITH LIMITATIONS,51.7,47.7
3,Dewan Enclave,Mumbai,Maharashtra,11.789516,87.528562,PASS WITH LIMITATIONS,54.5,33.7
4,Chahal Extension,Mumbai,Maharashtra,24.989119,78.029677,PASS,46.6,28.7
5,Balay Hills,Mumbai,Maharashtra,9.517915,78.056219,PASS,55.1,20.5
6,Chander Gardens,Mumbai,Maharashtra,22.956927,82.382141,PASS WITH LIMITATIONS,59.5,53.9
7,Kaul Nagar,Mumbai,Maharashtra,18.12281,80.602359,PASS WITH LIMITATIONS,56.2,27.2
8,Issac Layout,Mumbai,Maharashtra,16.41285,84.211043,PASS WITH LIMITATIONS,60.0,66.3
9,Kannan Colony,Mumbai,Maharashtra,11.824686,86.334664,PASS WITH LIMITATIONS,55.1,61.8
10,Mall Enclave,Mumbai,Maharashtra,8.142519,80.416583,PASS WITH LIMITATIONS,55.4,30.3
11,Dutta Extension,Mumbai,Maharashtra,22.411889,78.136259,PASS WITH LIMITATIONS,49.4,41.1
12,Oak Hills,Mumbai,Maharashtra,10.970345,80.086518,PASS,48.7,16.7
13,Dugal Gardens,Mumbai,Maharashtra,20.96227,82.319711,PASS WITH LIMITATIONS,52.6,45.7
14,Nayar Nagar,Mumbai,Maharashtra,21.226042,75.20268,PASS WITH LIMITATIONS,44.8,33.9
15,Chanda Layout,Mumbai,Maharashtra,21.529673,85.166944,PASS WITH LIMITATIONS,55.8,41.5
16,Chatterjee Colony,Bengaluru,Karnataka,22.882091,86.405209,PASS WITH LIMITATIONS,42.7,40.9
17,Padmanabhan Enclave,Bengaluru,Karnataka,22.183852,82.6054,PASS WITH LIMITATIONS,62.5,39.5
18,Bassi Extension,Bengaluru,Karnataka,21.481064,81.308783,PASS WITH LIMITATIONS,55.5,29.2
19,Yadav Hills,Bengaluru,Karnataka,18.30406,81.44201,PASS WITH LIMITATIONS,60.2,44.5
20,Radhakrishnan Gardens,Bengaluru,Karnataka,8.316861,86.888938,PASS,46.9,30.2
21,Memon Nagar,Bengaluru,Karnataka,19.414426,87.010399,PASS WITH LIMITATIONS,58.8,38.6
22,Handa Layout,Bengaluru,Karnataka,22.288823,83.388503,PASS,50.1,23.4
23,Bath Colony,Bengaluru,Karnataka,18.281084,84.873575,PASS WITH LIMITATIONS,58.5,78.6
24,Mann Enclave,Bengaluru,Karnataka,19.854743,73.057105,PASS,51.5,31.4
25,Kaul Extension,Bengaluru,Karnataka,18.705987,84.4349,PASS WITH LIMITATIONS,40.3,23.6
26,Rai Hills,Bengaluru,Karnataka,22.884872,87.625707,PASS,54.8,22.7
27,Setty Gardens,Bengaluru,Karnataka,11.552534,74.924774,PASS WITH LIMITATIONS,51.5,41.8
28,Gaba Nagar,Bengaluru,Karnataka,16.601801,76.33983,PASS,70.5,38.8
29,Pant Layout,Bengaluru,Karnataka,16.893959,78.676823,PASS WITH LIMITATIONS,57.0,34.1
30,Loke Colony,Bengaluru,Karnataka,21.503219,75.025484,PASS WITH LIMITATIONS,62.5,33.0
31,Garg Enclave,Pune,Maharashtra,21.187408,79.60292,PASS,47.0,31.2
32,Gade Extension,Pune,Maharashtra,25.319944,72.860715,PASS,54.7,30.5
33,Raghavan Hills,Pune,Maharashtra,24.471359,76.871536,PASS WITH LIMITATIONS,50.6,30.5
34,Kanda Gardens,Pune,Maharashtra,14.986473,86.926739,PASS WITH LIMITATIONS,64.3,41.2
35,Bhalla Nagar,Pune,Maharashtra,24.942378,77.460769,PASS WITH LIMITATIONS,60.2,45.5
36,Balay Layout,Pune,Maharashtra,14.010821,77.5943,PASS,51.6,25.8
37,Rattan Colony,Pune,Maharashtra,26.197936,77.939183,PASS,50.2,35.1
38,Bhatti Enclave,Pune,Maharashtra,9.491642,85.238831,PASS WITH LIMITATIONS,52.0,38.9
39,Murty Extension,Pune,Maharashtra,26.580265,74.223561,PASS WITH LIMITATIONS,50.1,44.2
40,Tata Hills,Pune,Maharashtra,27.724537,78.310494,PASS,55.5,23.6
41,Shanker Gardens,Pune,Maharashtra,18.723506,82.255679,PASS,60.5,25.9
42,Lanka Nagar,Pune,Maharashtra,13.686314,75.415878,PASS WITH LIMITATIONS,63.4,51.1
43,Koshy Layout,Pune,Maharashtra,11.333647,86.619371,PASS WITH LIMITATIONS,48.6,44.7
44,Sangha Colony,Pune,Maharashtra,27.883245,85.552843,PASS WITH LIMITATIONS,55.0,34.2
45,Pathak Enclave,Pune,Maharashtra,28.494212,87.947871,PASS,37.6,15.4
46,Devi Extension,Hyderabad,Telangana,12.687178,82.911361,PASS WITH LIMITATIONS,51.0,36.8
47,Chand Hills,Hyderabad,Telangana,25.469721,81.054556,PASS WITH LIMITATIONS,54.1,28.5
48,Choudhary Gardens,Hyderabad,Telangana,10.795615,72.725442,PASS WITH LIMITATIONS,56.7,61.3
49,Dutta Nagar,Hyderabad,Telangana,24.064887,78.646413,PASS,47.5,16.7
50,Bhatt Layout,Hyderabad,Telangana,20.984718,76.222257,PASS WITH LIMITATIONS,42.7,39.4
51,Raj Colony,Hyderabad,Telangana,11.532557,75.48048,PASS WITH LIMITATIONS,58.3,29.8
52,Wadhwa Enclave,Hyderabad,Telangana,18.320054,83.20112,PASS WITH LIMITATIONS,42.4,30.4
53,Apte Extension,Hyderabad,Telangana,12.291661,78.242318,PASS WITH LIMITATIONS,63.5,42.1
54,Yadav Hills,Hyderabad,Telangana,18.489388,80.747759,PASS,65.8,16.5
55,Oak Gardens,Hyderabad,Telangana,14.602623,75.777444,PASS WITH LIMITATIONS,51.8,50.9
56,Memon Nagar,Hyderabad,Telangana,20.030243,84.054312,PASS WITH LIMITATIONS,66.8,47.1
57,Dugar Layout,Hyderabad,Telangana,28.223563,81.88951,PASS WITH LIMITATIONS,47.9,36.8
58,Aggarwal Colony,Hyderabad,Telangana,16.413135,87.726869,PASS,51.5,21.9
59,Tella Enclave,Hyderabad,Telangana,21.707186,86.905328,PASS WITH LIMITATIONS,49.3,38.0
60,Tripathi Extension,Hyderabad,Telangana,18.406013,76.257351,PASS WITH LIMITATIONS,41.2,24.5
61,Misra Hills,Delhi NCR,Delhi,9.062383,77.717366,PASS WITH LIMITATIONS,55.7,25.9
62,Dua Gardens,Delhi NCR,Delhi,17.667312,78.883534,PASS,63.1,29.3
63,Edwin Nagar,Delhi NCR,Delhi,24.30298,75.625223,PASS WITH LIMITATIONS,57.9,36.0
64,Naik Layout,Delhi NCR,Delhi,16.045125,85.157291,PASS,61.9,26.8
65,Bahl Colony,Delhi NCR,Delhi,26.441279,78.450314,PASS,38.8,29.6
66,Patil Enclave,Delhi NCR,Delhi,20.711491,80.768647,PASS WITH LIMITATIONS,57.3,39.8
67,Khatri Extension,Delhi NCR,Delhi,25.973696,77.802267,PASS WITH LIMITATIONS,60.5,31.6
68,Khosla Hills,Delhi NCR,Delhi,22.760749,82.437788,PASS,48.0,38.2
69,Chada Gardens,Delhi NCR,Delhi,16.217454,79.66109,PASS,47.2,21.6
70,Biswas Nagar,Delhi NCR,Delhi,22.281342,86.79874,PASS WITH LIMITATIONS,69.7,69.2
71,Dave Layout,Delhi NCR,Delhi,26.974155,79.48801,PASS WITH LIMITATIONS,46.8,35.1
72,Gandhi Colony,Delhi NCR,Delhi,24.458496,72.571796,PASS,53.5,30.1
73,Wable Enclave,Delhi NCR,Delhi,17.270468,75.981375,PASS,51.1,36.1
74,Kakar Extension,Delhi NCR,Delhi,19.902061,82.300096,PASS WITH LIMITATIONS,45.9,37.6
75,Muni Hills,Delhi NCR,Delhi,20.205393,73.539685,PASS WITH LIMITATIONS,46.9,26.9
76,Prakash Gardens,Chennai,Tamil Nadu,19.579243,73.518484,PASS WITH LIMITATIONS,54.5,68.0
77,Varughese Nagar,Chennai,Tamil Nadu,11.729527,85.857677,PASS,51.9,46.1
78,Dara Layout,Chennai,Tamil Nadu,8.555468,75.940569,PASS WITH LIMITATIONS,47.1,27.0
79,Kar Colony,Chennai,Tamil Nadu,12.98503,83.695137,PASS,49.1,26.6
80,Nigam Enclave,Chennai,Tamil Nadu,8.266539,73.825382,PASS WITH LIMITATIONS,59.0,33.0
81,Karpe Extension,Chennai,Tamil Nadu,13.495305,82.174308,PASS WITH LIMITATIONS,51.4,22.6
82,Amble Hills,Chennai,Tamil Nadu,25.803594,80.055184,PASS WITH LIMITATIONS,52.4,31.9
