locality_id,total_items,n_planned,n_completed,social_score,transit_score,commercial_score
1,1,0,1,,10.63400576368876,
2,2,0,2,3.5690061534588855,,
3,3,0,3,10.733234026369168,,5.797392176529588
4,4,1,3,13.4877855167469,7.949479940564636,2.0150375939849625
5,2,2,0,,9.468390804597702,3.9076923076923076
6,1,1,0,,37.88235294117648,
7,1,1,0,,,5.040080160320641
8,1,0,1,9.38,,
9,1,1,0,3.557692307692307,,
10,2,0,2,9.805045871559635,6.043613707165108,
11,2,2,0,,23.166193181818187,
12,2,2,0,,7.020689655172413,6.813417190775682
13,3,2,1,7.228571428571429,14.980168608317566,
14,4,2,2,7.713802427214991,17.728052955946133,
15,2,2,0,,8.62357881715267,
16,1,0,1,8.815943728018757,,
17,2,1,1,5.794165316045381,,4.705046197583511
18,2,2,0,,7.9521009935283935,
19,1,0,1,3.284389489953632,,
20,3,0,3,,8.367424221329964,7.719072164948455
21,2,1,1,12.58485639686684,,18.977777777777778
22,3,2,1,6.671251719394774,10.617577197149645,7.847439916405433
23,1,0,1,2.3091787439613527,,
24,4,3,1,,9.349201743796057,5.542452830188679
25,3,1,2,,8.941426311822749,
26,3,2,1,,10.555757717533506,3.628691983122363
27,1,1,0,,,2.8893442622950816
28,2,2,0,,18.66477272727273,6.2530612244897945
29,3,3,0,4.754502124225809,,6.767932489451477
30,1,1,0,,7.670103092783506,
31,4,4,0,2.9704301075268815,14.421823432343235,17.096774193548388
32,4,1,3,25.63291139240506,19.458598726114648,9.287611921801902
33,2,0,2,,5.398190045248869,
34,1,1,0,,6.138706654170572,
35,4,2,2,5.191427899194813,2.6711274910836984,
36,2,1,1,,2.021978021978022,5.543307086614174
37,3,3,0,,22.811059907834103,5.870783450951286
38,1,1,0,,,6.583072100313479
39,4,4,0,9.300998573466478,6.124897229815854,
40,3,2,1,7.330210772833724,3.683483068417415,2.473118279569892
41,3,1,2,,8.12909260991581,9.603143083324227
42,2,1,1,8.124362895005097,4.811529933481153,
43,1,0,1,,8.845144356955382,
44,1,1,0,,23.132530120481924,
45,3,1,2,,6.484963970959285,11.63337250293772
46,1,1,0,,15.344262295081968,
47,1,1,0,,4.332023575638507,
48,2,1,1,19.647793362983236,,
49,2,0,2,,5.02262443438914,5.965753424657533
50,1,1,0,8.035892323030907,,
51,1,0,1,,,11.125827814569538
52,3,3,0,4.578402366863905,3.7359198679216377,
53,3,1,2,5.262039660056657,11.477645929693239,
54,3,2,1,4.67741935483871,4.825673534072901,2.4282198523379823
55,2,2,0,,13.89682800558797,
56,3,1,2,5.0,3.8497994104170954,
57,1,0,1,,,14.444444444444443
58,3,2,1,,5.790179082710321,4.695652173913044
59,3,2,1,3.2642857142857142,5.075065174763696,
60,1,0,1,,,9.057971014492756
61,4,4,0,4.1340147808349705,9.64006000923219,
62,4,4,0,12.557095034405801,3.368912608405604,4.52928870292887
63,1,1,0,,,4.554973821989529
64,4,0,4,5.327102803738318,3.3189033189033195,6.130898009625644
65,2,2,0,,7.080820265379978,26.93215339233038
66,4,1,3,,11.195750979574566,
67,3,2,1,5.68693144220679,5.450852965069049,
68,4,2,2,3.8414634146341466,29.67078189300412,23.875158221653855
69,2,0,2,,19.661835748792267,4.741613780598368
70,1,0,1,6.758304696449026,,
71,2,2,0,39.146341463414636,1.4264487369985142,
72,2,1,1,,6.6262814538676595,17.77777777777778
73,3,3,0,,24.614771997430957,5.932203389830509
74,3,1,2,,,13.957441607843448
75,3,3,0,6.033601168736304,4.079760582638951,
76,1,0,1,6.179138321995464,,
77,2,2,0,,47.35751295336787,5.281306715063521
78,3,2,1,,10.043864456729404,
79,2,2,0,,3.877737226277372,9.319196428571427
80,3,1,2,3.1901185170987274,,6.497005988023951
81,4,3,1,6.062894508715177,5.113771712158809,
82,1,0,1,,29.9047619047619,
83,1,1,0,,,8.044237485448194
84,4,3,1,19.017199017199015,13.869047619047619,6.468772533141051
85,2,1,1,,7.493285586392122,5.473333333333333
86,1,1,0,,7.400194741966894,
87,1,0,1,4.2588042588042585,,
88,4,3,1,2.6699507389162562,8.539304513455425,5.539452495974235
89,4,1,3,3.7534626038781167,4.889031775340372,
90,3,1,2,,8.984848484848484,6.889496170510217
