locality_id,status,location_score,connectivity_score,safety_score,infrastructure_score,development_score,commercial_score,accessibility_score,market_strength_score
1,PASS,43.8,58.6,61.6,46.6,55.3,42.4,34.6,6.9
2,PASS,51.7,47.7,62.8,66.8,64.8,43.0,47.7,25.9
3,PASS,54.5,61.6,54.8,67.0,75.3,99.0,33.7,5.1
4,PASS,46.6,76.1,68.6,63.1,57.0,25.4,28.7,0.0
5,PASS,55.1,48.0,77.0,62.4,66.9,72.9,20.5,43.7
6,PASS,59.5,70.0,64.2,77.6,57.7,32.9,53.9,51.1
7,PASS,56.2,49.4,81.7,58.6,67.4,84.9,27.2,33.9
8,PASS,60.0,66.3,71.1,54.6,62.4,50.6,66.3,45.6
9,PASS,55.1,61.8,76.0,52.3,63.0,60.1,61.8,12.2
10,PASS,55.4,54.5,65.3,54.1,59.1,60.9,30.3,65.6
11,PASS,49.4,59.1,75.4,54.8,51.0,59.3,41.1,8.7
12,PASS,48.7,36.2,70.7,59.5,54.6,51.2,16.7,52.7
13,PASS,52.6,76.5,60.7,39.3,61.6,39.0,45.7,41.1
14,PASS,44.8,50.1,71.2,49.8,49.4,24.0,33.9,28.5
15,PASS,55.8,74.3,65.3,57.1,64.8,47.9,41.5,37.1
16,PASS,42.7,40.9,73.1,63.3,45.3,30.3,40.9,1.2
17,PASS,62.5,74.3,72.7,81.9,67.0,58.5,39.5,42.3
18,PASS,55.5,50.4,83.9,74.2,71.1,74.3,29.2,11.4
19,PASS,60.2,44.5,80.5,46.1,61.8,79.2,44.5,71.3
20,PASS,46.9,74.4,57.1,44.6,60.8,50.5,30.2,11.8
21,PASS,58.8,58.2,82.5,74.0,60.9,36.5,38.6,53.4
22,PASS,50.1,51.7,70.7,62.8,63.7,62.2,23.4,20.1
23,PASS,58.5,78.6,73.7,49.1,68.5,55.5,78.6,4.2
24,PASS,51.5,79.3,66.2,71.7,65.3,39.5,31.4,3.0
25,PASS,40.3,38.2,65.0,66.4,50.1,37.1,23.6,0.8
26,PASS,54.8,54.0,70.5,63.9,72.2,97.9,22.7,16.9
27,PASS,51.5,80.7,64.7,48.7,68.0,39.6,41.8,13.1
28,PASS,70.5,91.5,54.9,67.3,83.3,97.4,38.8,69.2
29,PASS,57.0,61.4,69.8,93.7,65.8,29.1,34.1,35.9
30,PASS,62.5,58.4,87.3,62.4,69.4,78.3,33.0,53.9
31,PASS,47.0,62.0,77.8,61.1,62.3,17.1,31.2,7.5
32,PASS,54.7,62.7,73.4,70.6,62.4,50.8,30.5,31.1
33,PASS,50.6,55.7,81.4,53.6,64.4,62.2,30.5,10.6
34,PASS,64.3,76.2,69.7,71.0,71.3,80.6,41.2,45.8
35,PASS,60.2,88.3,65.1,52.1,70.8,55.2,45.5,42.5
36,PASS,51.6,69.9,71.2,57.7,70.7,38.6,25.8,23.2
37,PASS,50.2,76.6,61.6,72.0,68.4,13.2,35.1,12.0
38,PASS,52.0,71.2,60.1,49.9,57.8,59.9,38.9,29.0
39,PASS,50.1,82.3,62.0,51.4,63.2,14.3,44.2,21.6
40,PASS,55.5,64.7,73.9,54.8,71.4,65.4,23.6,38.3
41,PASS,60.5,59.9,70.8,68.2,65.8,64.5,25.9,69.6
42,PASS,63.4,97.3,80.5,46.2,74.9,98.8,51.1,6.7
43,PASS,48.6,80.5,47.0,27.4,59.9,66.4,44.7,20.5
