month,interest_rate,mortgage_rate,inflation,unemployment,GDP_growth,income_growth
2020-01-01,6.54,7.74,5.36,7.28,8.28,6.77
2020-02-01,6.52,7.72,7.08,7.42,5.3,7.54
2020-03-01,6.48,7.68,5.03,6.79,3.13,5.28
2020-04-01,6.44,7.64,4.49,6.88,4.64,5.59
2020-05-01,6.56,7.76,5.27,6.58,3.86,6.46
2020-06-01,6.57,7.77,4.35,6.95,5.1,6.71
2020-07-01,6.52,7.72,7.35,6.48,4.41,7.82
2020-08-01,6.42,7.62,5.71,4.15,4.01,7.2
2020-09-01,6.48,7.68,5.67,6.36,5.55,5.52
2020-10-01,6.42,7.62,5.04,7.77,6.52,5.24
2020-11-01,6.45,7.65,5.11,5.69,6.92,8.03
2020-12-01,6.52,7.72,4.66,6.13,6.5,7.98
2021-01-01,6.48,7.68,5.31,5.17,4.21,7.81
2021-02-01,6.59,7.79,5.43,7.7,6.54,6.35
2021-03-01,6.62,7.82,7.04,6.46,8.35,4.38
2021-04-01,6.69,7.89,5.59,6.14,6.14,5.01
2021-05-01,6.67,7.87,5.86,8.27,5.22,6.19
2021-06-01,6.63,7.83,6.42,6.89,5.21,7.51
2021-07-01,6.64,7.84,6.47,5.66,5.51,6.61
2021-08-01,6.52,7.72,5.8,6.81,6.01,6.77
2021-09-01,6.41,7.61,5.08,6.09,4.8,6.84
2021-10-01,6.44,7.64,7.39,6.71,6.39,6.93
2021-11-01,6.28,7.48,5.47,6.57,9.0,6.81
2021-12-01,6.31,7.51,5.47,5.1,7.71,7.75
2022-01-01,6.37,7.57,4.59,8.18,3.9,7.59
2022-02-01,6.55,7.75,4.51,5.82,6.15,6.5
2022-03-01,6.42,7.62,5.57,5.23,6.71,6.08
2022-04-01,6.55,7.75,4.72,6.11,7.22,5.77
2022-05-01,6.57,7.77,6.81,4.57,6.28,7.26
2022-06-01,6.63,7.83,4.26,4.92,6.78,7.3
2022-07-01,6.65,7.85,5.85,5.68,6.35,7.29
2022-08-01,6.59,7.79,7.37,7.07,4.21,7.66
2022-09-01,6.51,7.71,6.29,7.89,4.77,7.96
2022-10-01,6.55,7.75,6.32,8.78,5.63,6.25
2022-11-01,6.47,7.67,4.68,6.41,6.51,7.28
2022-12-01,6.54,7.74,5.51,8.24,5.6,9.72
2023-01-01,6.59,7.79,4.64,5.21,6.72,6.78
2023-02-01,6.65,7.85,5.97,6.41,4.73,5.49
2023-03-01,6.61,7.81,6.36,6.76,4.13,7.17
2023-04-01,6.64,7.84,4.62,6.68,6.09,5.86
2023-05-01,6.67,7.87,6.06,7.8,7.58,5.62
2023-06-01,6.6,7.8,6.02,7.12,6.77,10.85
2023-07-01,6.64,7.84,6.64,7.64,6.98,6.68
2023-08-01,6.7,7.9,4.73,6.22,5.27,7.08
2023-09-01,6.89,8.09,3.63,7.32,3.58,6.53
2023-10-01,6.98,8.18,5.56,5.21,4.93,7.68
2023-11-01,6.92,8.12,5.72,6.55,5.02,9.14
2023-12-01,6.97,8.17,3.47,6.72,5.01,7.85
2024-01-01,6.9,8.1,5.39,7.11,7.3,5.8
2024-02-01,6.88,8.08,5.03,5.72,8.65,7.4
2024-03-01,6.78,7.98,6.42,9.05,7.55,5.48
2024-04-01,6.74,7.94,6.77,5.65,6.67,7.77
2024-05-01,6.66,7.86,5.44,3.0,4.46,6.75
2024-06-01,6.56,7.76,7.13,4.78,5.34,7.13
2024-07-01,6.68,7.88,4.06,7.9,6.02,6.02
2024-08-01,6.72,7.92,5.7,5.78,6.1,6.61
2024-09-01,6.73,7.93,6.16,8.4,4.14,9.13
2024-10-01,6.57,7.77,5.35,7.21,6.42,6.38
2024-11-01,6.55,7.75,5.01,5.79,7.27,7.36
2024-12-01,6.5,7.7,6.4,6.87,7.22,7.63
2025-01-01,6.43,7.63,4.94,7.4,6.92,6.98
2025-02-01,6.44,7.64,6.78,5.79,6.82,6.8
2025-03-01,6.42,7.62,6.6,7.49,7.22,8.31
2025-04-01,6.42,7.62,6.18,6.13,6.49,6.87
2025-05-01,6.43,7.63,6.1,5.52,9.0,5.99
2025-06-01,6.34,7.54,6.66,7.45,6.94,7.63
2025-07-01,6.33,7.53,4.6,6.59,4.98,7.98
2025-08-01,6.32,7.52,4.67,6.11,6.62,6.44
2025-09-01,6.26,7.46,5.74,6.79,5.24,6.53
2025-10-01,6.28,7.48,4.05,4.81,4.92,6.79
2025-11-01,6.3,7.5,6.98,7.53,5.76,6.98
2025-12-01,6.22,7.42,5.48,6.15,6.48,6.17
