event_id,property_id,event_date,event_type,source,event_value
1,7271,2025-07-31,View,Walk-in,0.807
2,7604,2026-01-01,Inquiry,Ad Campaign,0.252
3,861,2024-10-05,Site Visit,Broker,0.018
4,5391,2026-03-11,View,Ad Campaign,0.059
5,5227,2025-09-17,View,Walk-in,0.692
6,5192,2024-11-10,Lead,App,0.174
7,3773,2026-07-25,View,Website,0.744
8,3093,2024-11-16,Inquiry,Ad Campaign,0.661
9,5735,2024-10-15,Lead,Walk-in,0.631
10,6266,2026-01-19,Inquiry,Walk-in,0.8
11,467,2024-12-24,Lead,Walk-in,0.54
12,5335,2026-01-30,Lead,Broker,0.925
13,4427,2026-04-29,Booking,Broker,0.847
14,5579,2025-02-22,Inquiry,App,0.083
15,6232,2026-02-19,View,Walk-in,0.426
16,3445,2025-11-12,View,Website,0.009
17,3172,2025-02-27,Booking,Ad Campaign,0.548
18,2920,2024-09-14,View,App,0.645
19,7832,2024-11-03,View,Broker,0.89
20,131,2026-05-07,Inquiry,Broker,0.541
21,1686,2026-07-24,View,Walk-in,0.647
22,7477,2024-08-26,Site Visit,App,0.299
23,770,2025-02-21,Inquiry,Ad Campaign,0.007
24,2392,2026-01-10,Lead,Ad Campaign,0.579
25,5612,2025-08-18,View,App,0.058
26,7582,2026-07-12,View,Ad Campaign,0.32
27,6950,2025-04-30,View,Walk-in,0.958
28,2434,2024-11-15,View,Website,0.185
29,5312,2026-01-11,Inquiry,Broker,0.856
30,5052,2025-08-17,View,Ad Campaign,0.746
31,6421,2025-08-18,View,Walk-in,0.554
32,1185,2024-10-12,View,Walk-in,0.099
33,4556,2024-12-03,View,Ad Campaign,0.547
34,3386,2025-07-05,View,Walk-in,0.815
35,4118,2025-04-11,Inquiry,Walk-in,0.234
36,6397,2024-09-11,Inquiry,Ad Campaign,1.0
37,4844,2025-12-05,View,Broker,0.923
38,2905,2025-03-30,Lead,Walk-in,0.834
39,7729,2026-04-05,Lead,Ad Campaign,0.356
40,475,2026-02-16,Lead,Broker,0.792
41,1083,2025-03-26,Booking,App,0.291
42,2559,2024-09-02,Site Visit,Walk-in,0.008
43,7850,2025-09-01,Lead,Broker,0.786
44,2048,2026-01-26,Inquiry,Ad Campaign,0.907
45,7644,2024-09-13,Inquiry,App,0.204
46,2748,2025-11-07,View,App,0.774
47,976,2025-12-24,Inquiry,App,0.566
48,1807,2024-11-20,View,Website,0.242
49,190,2026-03-01,View,App,0.974
50,7102,2025-02-03,View,Ad Campaign,0.815
51,2735,2025-02-06,Cancellation,App,0.442
52,3006,2024-09-16,Inquiry,Broker,0.084
53,4659,2025-12-23,Lead,Website,0.702
54,1900,2026-06-24,Inquiry,Walk-in,0.256
55,7735,2025-10-18,View,Walk-in,0.281
56,1268,2025-12-10,View,Walk-in,0.708
57,6976,2025-10-13,View,App,0.765
58,1529,2026-03-13,View,Ad Campaign,0.443
59,3203,2026-04-20,View,Walk-in,0.385
60,3557,2025-10-24,View,Broker,0.655
61,3891,2024-10-29,Lead,Broker,0.616
62,647,2026-03-07,Site Visit,Website,0.256
63,6165,2026-04-23,View,App,0.092
64,2889,2026-03-06,View,Website,0.186
65,6311,2024-09-06,View,App,0.466
66,5394,2025-10-28,View,Walk-in,0.69
67,2436,2025-12-31,Site Visit,App,0.396
68,601,2024-11-10,View,Website,0.689
69,2364,2026-04-21,View,Walk-in,0.35
70,2062,2026-05-10,View,App,0.867
71,242,2025-07-15,Site Visit,Broker,0.533
72,2042,2026-01-18,Site Visit,Broker,0.434
73,2825,2026-08-15,Booking,Walk-in,0.138
74,7514,2025-10-22,Site Visit,Walk-in,0.108
75,2613,2025-12-15,View,Walk-in,0.6
76,7042,2026-04-28,View,Website,0.568
77,1364,2025-12-01,View,Walk-in,0.521
78,6236,2025-08-31,View,App,0.264
79,5487,2025-07-12,Lead,Ad Campaign,0.594
80,7100,2026-06-06,Inquiry,App,0.097
81,1479,2026-02-05,Inquiry,App,0.885
82,7596,2025-04-21,Site Visit,Website,0.308
83,2557,2025-10-25,View,Ad Campaign,0.409
84,776,2026-06-10,View,Ad Campaign,0.931
85,4015,2025-11-17,View,Website,0.618
86,35,2026-03-27,View,Ad Campaign,0.741
87,6350,2025-02-28,View,Broker,0.625
88,3153,2025-01-06,View,Website,0.943
89,1956,2026-01-18,Booking,Walk-in,0.347
90,1586,2026-04-11,Inquiry,Walk-in,0.926
91,3944,2024-12-05,Lead,App,0.447
92,7556,2025-06-26,View,App,0.899
93,3074,2025-12-03,View,Walk-in,0.705
94,1022,2025-08-04,View,Broker,0.21
95,3462,2025-09-12,View,Website,0.58
96,2614,2026-01-19,Inquiry,App,0.596
97,5226,2025-11-19,View,App,0.198
98,3844,2026-05-05,View,Broker,0.14
99,7990,2026-04-24,View,App,0.623
100,1501,2026-06-03,View,Broker,0.606
101,4799,2025-09-24,Lead,Website,0.521
102,6546,2026-05-23,Inquiry,Broker,0.996
103,6874,2024-09-15,View,Walk-in,0.892
104,5676,2024-10-09,View,Ad Campaign,0.905
105,162,2026-03-01,View,App,0.91
106,4298,2025-10-06,Cancellation,Walk-in,0.879
107,1982,2026-02-03,Lead,Ad Campaign,0.969
108,996,2026-01-11,Inquiry,Broker,0.879
109,6414,2025-07-27,Lead,Ad Campaign,0.51
110,4912,2026-04-09,Inquiry,Website,0.748
111,3343,2025-01-04,View,App,0.234
112,4552,2026-02-07,View,Broker,0.678
113,7630,2025-08-14,View,Walk-in,0.802
114,3799,2025-08-17,Site Visit,Walk-in,0.97
115,1276,2025-08-31,Lead,Website,0.331
116,1017,2025-12-16,View,Walk-in,0.779
117,7870,2025-07-17,View,Walk-in,0.525
118,6440,2025-08-25,Inquiry,App,0.394
119,7893,2024-08-27,Inquiry,Ad Campaign,0.475
120,6864,2024-08-21,View,Walk-in,0.773
121,7917,2026-01-06,View,Ad Campaign,0.726
122,338,2024-11-25,View,Ad Campaign,0.592
123,879,2026-07-22,Site Visit,Broker,0.165
124,1077,2025-08-21,View,Walk-in,0.259
125,4888,2026-03-21,View,Walk-in,0.751
126,3994,2025-11-24,Inquiry,Ad Campaign,0.994
127,6361,2024-10-18,Site Visit,App,0.454
128,4860,2026-01-08,View,Website,0.335
129,6332,2026-05-28,View,Ad Campaign,0.377
130,380,2025-01-05,Lead,Broker,0.279
131,493,2026-02-27,View,Broker,0.541
132,7209,2026-08-15,Inquiry,Broker,0.849
133,5277,2025-07-17,Site Visit,Website,0.045
134,2063,2024-12-27,Lead,Website,0.632
135,3885,2025-10-03,Site Visit,Ad Campaign,0.894
136,65,2025-12-23,View,App,0.336
137,2569,2026-03-20,View,App,0.558
138,5464,2025-05-27,View,Walk-in,0.878
139,5249,2026-04-16,View,Ad Campaign,0.973
140,2028,2025-05-29,View,Website,0.924
141,2696,2024-12-16,Lead,Ad Campaign,0.482
142,1496,2024-10-18,View,Ad Campaign,0.446
143,7231,2026-04-15,View,Walk-in,0.225
144,5259,2026-06-20,View,Ad Campaign,0.112
145,5619,2025-10-24,View,Website,0.627
146,6737,2026-07-26,View,Broker,0.045
147,392,2026-02-06,Lead,Ad Campaign,0.837
148,5795,2025-12-28,View,Ad Campaign,1.0
149,4515,2025-05-24,Inquiry,Ad Campaign,0.266
150,6433,2026-04-26,View,Walk-in,0.464
151,4475,2025-06-08,Inquiry,Broker,0.657
152,5893,2026-05-25,View,Ad Campaign,0.364
153,3562,2025-10-04,Lead,Walk-in,0.226
154,2279,2026-05-12,View,Website,0.078
155,7162,2026-07-15,Site Visit,Broker,0.17
156,6185,2025-06-24,Inquiry,App,0.426
157,3100,2024-11-07,View,App,0.13
158,6279,2024-10-21,Booking,Broker,0.32
159,201,2026-07-24,View,Walk-in,0.19
160,5960,2025-09-28,View,Broker,0.841
161,4876,2024-08-20,Inquiry,Broker,0.246
162,7074,2025-02-09,Inquiry,App,0.325
163,3105,2024-09-07,Lead,Broker,0.006
164,7216,2025-10-08,Inquiry,Walk-in,0.117
165,4599,2025-12-13,Site Visit,Walk-in,0.415
166,2455,2025-12-22,Inquiry,Website,0.328
167,3646,2026-08-19,View,Broker,0.27
168,5848,2025-05-31,View,Walk-in,0.931
169,805,2025-08-07,Site Visit,Broker,0.931
170,6243,2026-02-23,View,Walk-in,0.815
171,2732,2024-09-03,View,Website,0.9
172,5992,2025-09-09,Inquiry,Walk-in,0.111
173,2774,2025-02-02,Lead,Website,0.724
174,1571,2026-03-29,View,App,0.553
175,5057,2025-01-25,Inquiry,Website,0.002
176,7907,2025-10-19,Lead,Walk-in,0.669
177,6757,2025-12-05,View,Ad Campaign,0.484
178,5582,2025-04-29,Site Visit,Website,0.396
179,2691,2025-05-31,Lead,Broker,0.06
180,3841,2026-01-14,Site Visit,Walk-in,0.369
181,1029,2025-12-01,View,App,0.153
182,7386,2025-08-14,Inquiry,Website,0.694
183,503,2024-08-25,View,Website,0.332
184,6911,2026-01-24,Inquiry,App,0.099
185,4494,2025-05-04,View,App,0.942
186,871,2025-09-07,Lead,Broker,0.743
187,6939,2024-09-07,View,App,0.498
188,4489,2024-09-14,Inquiry,Ad Campaign,0.334
189,207,2026-04-18,View,Website,0.99
190,5135,2024-09-23,Inquiry,Website,0.611
191,5978,2025-11-06,View,Ad Campaign,0.114
192,7722,2025-09-23,Site Visit,Ad Campaign,0.705
193,7036,2024-09-19,Inquiry,Walk-in,0.932
194,1485,2025-11-19,Booking,Website,0.261
195,7859,2025-01-02,Booking,Walk-in,0.375
196,7743,2024-09-23,Inquiry,App,0.441
197,864,2026-01-19,Inquiry,Walk-in,0.001
198,2791,2026-02-26,View,Website,0.432
199,7409,2026-04-17,View,App,0.777
200,564,2025-05-02,View,Broker,0.82
201,5117,2026-08-02,Inquiry,App,0.598
202,4192,2025-05-17,View,Ad Campaign,0.86
203,6020,2025-06-30,Booking,Broker,0.719
204,1758,2025-03-22,Lead,Broker,0.506
205,6629,2026-03-26,View,Broker,0.469
206,7575,2025-10-20,View,Broker,0.823
207,6375,2026-02-17,Booking,Walk-in,0.093
208,6893,2026-03-08,Inquiry,Broker,0.082
209,1679,2026-04-28,Lead,Broker,0.008
210,3243,2025-02-25,View,Walk-in,0.136
211,4637,2025-06-20,View,App,0.558
212,1060,2025-06-01,Lead,Walk-in,0.235
213,6669,2025-05-17,Inquiry,App,0.091
214,5280,2026-01-12,Site Visit,App,0.26
215,1723,2025-10-28,View,Ad Campaign,0.857
216,3315,2026-02-19,Lead,Broker,0.297
217,3158,2025-10-20,Site Visit,Walk-in,0.02
218,5916,2026-07-28,Site Visit,Website,0.935
219,2626,2025-07-06,View,Walk-in,0.504
220,2730,2024-10-25,Lead,App,0.822
221,6701,2024-11-13,Inquiry,Broker,0.583
222,1598,2025-11-22,Booking,Broker,0.688
223,3061,2024-11-07,Booking,Walk-in,0.461
224,2694,2026-06-06,Inquiry,Website,0.288
225,4892,2025-04-02,Inquiry,App,0.82
226,5148,2026-05-22,View,App,0.706
227,5740,2025-01-19,Lead,Website,0.511
228,3628,2025-08-14,Inquiry,Walk-in,0.91
229,1364,2025-02-27,View,Broker,0.899
230,7966,2024-08-29,Inquiry,App,0.43
231,1982,2024-11-24,Lead,Ad Campaign,0.508
232,5451,2026-07-11,View,Ad Campaign,0.094
233,1664,2025-07-13,Site Visit,Ad Campaign,0.086
234,1530,2025-03-11,Lead,Walk-in,0.742
235,2039,2026-04-20,Lead,App,0.595
236,7516,2026-01-09,Site Visit,Ad Campaign,0.685
237,5593,2026-08-01,Lead,Ad Campaign,0.195
238,3303,2026-03-02,Inquiry,Walk-in,0.431
239,2238,2025-07-03,Inquiry,Broker,0.678
240,7393,2025-04-19,Lead,Broker,0.882
241,5505,2024-09-05,View,Broker,0.387
242,5497,2026-01-07,View,Broker,0.405
243,1307,2025-12-20,View,App,0.35
244,4030,2024-09-17,View,App,0.181
245,6777,2025-01-03,Lead,Broker,0.95
246,2676,2025-08-14,Inquiry,Walk-in,0.773
