property_id,decision,decision_score,decision_confidence,data_quality_status,model_status,evidence_status
1,INSUFFICIENT,37.5,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
1,INSUFFICIENT,37.5,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
2,HOLD,54.4,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
3,INVEST,68.7,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
4,AVOID,31.0,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
5,AVOID,25.2,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
6,HOLD,41.5,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
7,HOLD,42.9,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
8,HOLD,41.6,70.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
9,INSUFFICIENT,53.2,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
10,AVOID,34.4,70.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
11,INVEST,66.7,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
12,HOLD,61.5,81.7,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
13,INSUFFICIENT,53.9,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
14,AVOID,34.0,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
15,INSUFFICIENT,34.3,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
16,AVOID,34.7,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
17,HOLD,36.0,70.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
18,INSUFFICIENT,47.1,55.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
19,HOLD,36.6,70.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
20,INSUFFICIENT,52.5,55.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
21,HOLD,45.2,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
22,HOLD,56.8,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
23,HOLD,49.0,75.8,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
24,INSUFFICIENT,59.0,49.2,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
25,HOLD,46.3,70.0,PASS,PASS WITH LIMITATIONS,PASS WITH LIMITATIONS
