property_id,component,score
1,market_score,24.9
1,prediction_score,43.075
1,geo_score,45.9
1,market_score,24.9
1,prediction_score,43.075
1,geo_score,45.9
2,market_score,12.0
2,prediction_score,24.725
2,financial_score,73.8
2,risk_score,98.8
2,geo_score,50.2
3,market_score,53.4
3,prediction_score,50.975
3,financial_score,75.1
3,risk_score,99.4
3,geo_score,58.8
4,market_score,10.4
4,prediction_score,37.425
4,financial_score,23.949999999999996
4,risk_score,39.6
4,geo_score,46.9
5,market_score,12.4
5,prediction_score,23.224999999999998
5,financial_score,9.199999999999996
5,risk_score,30.3
5,geo_score,54.5
6,market_score,10.6
6,prediction_score,98.075
6,financial_score,26.2
6,risk_score,40.1
6,geo_score,50.6
7,market_score,4.2
7,prediction_score,100.0
7,financial_score,29.049999999999997
7,risk_score,40.4
7,geo_score,58.5
8,market_score,37.1
8,prediction_score,100.0
8,financial_score,0.0
8,risk_score,40.0
8,geo_score,55.8
9,market_score,29.0
9,prediction_score,87.175
9,geo_score,52.0
10,market_score,53.9
10,prediction_score,20.674999999999997
10,financial_score,0.0
10,risk_score,40.0
10,geo_score,62.5
11,market_score,11.4
11,prediction_score,72.725
11,financial_score,89.75
11,risk_score,100.0
11,geo_score,55.5
12,market_score,16.9
12,prediction_score,63.325
12,financial_score,72.5
12,risk_score,97.8
12,geo_score,54.8
13,market_score,65.6
13,prediction_score,36.4
13,geo_score,55.4
14,market_score,69.7
14,prediction_score,0.0
14,financial_score,0.0
14,risk_score,40.0
14,geo_score,60.5
15,market_score,19.8
15,prediction_score,35.525
15,geo_score,47.9
16,market_score,4.2
16,prediction_score,47.35
16,financial_score,27.999999999999996
16,risk_score,40.3
16,geo_score,58.5
17,market_score,53.9
17,prediction_score,31.275
17,financial_score,0.0
17,risk_score,40.0
17,geo_score,62.5
18,market_score,3.1
18,prediction_score,100.0
18,geo_score,51.5
19,market_score,41.1
19,prediction_score,65.575
19,financial_score,0.0
19,risk_score,40.0
19,geo_score,52.6
20,market_score,31.1
20,prediction_score,78.1
20,geo_score,54.7
21,market_score,90.2
21,prediction_score,39.775
21,financial_score,0.0
21,risk_score,40.0
21,geo_score,65.8
22,market_score,26.8
22,prediction_score,18.125
22,financial_score,72.65
22,risk_score,98.0
22,geo_score,55.0
23,market_score,90.6
23,prediction_score,83.175
23,financial_score,0.0
23,risk_score,40.0
23,geo_score,51.9
24,market_score,65.0
24,prediction_score,48.975
24,geo_score,60.5
25,market_score,53.9
25,prediction_score,100.0
25,financial_score,0.0
25,risk_score,40.0
25,geo_score,62.5
